...1;FuD.Key;Nr.;Verfasser;GND..Verfasser.;VIAF..Verfasser.;EmpfÌ_nger;GND..EmpfÌ_nger.;VIAF..EmpfÌ_nger.;Datierung..JJJJ.MM.TT.;Ausstellungsort;Geonames..Ausstellungsort.;Empfangsort;Geonames..Empfangsort.;Vorlage;VollstÌ_ndigkeit.des.Archivals;ErlÌ_uterung.UnvollstÌ_ndigkeit;Umfang.in.Seiten;Anfang.des.Briefes;Inhaltliche.Stichpunkte;Weitere.Personen;GND..Weitere.Personen.;VIAF..Weitere.Personen.;Orte;Geonames..Orte.;SchlagwÌ¦rter;Weitere_Pers1_genre;Weitere_Pers2_genre;Verfasser1_gender;Verfasser2_gender
5546;CdS-b1-087z;CdS/17/303-305;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1840-01-05;Aachen;https://www.geonames.org/3247449;NA;NA;Abschrift;vollstÌ_ndig;NA;5;Je n‰Ûªentends point parler de toi, cher frÌ¬re, tu ne m‰Ûªas Ì©crit que deux fois pendant tout mon sÌ©jour ÌÊ Dyck;Klage Ì_ber ausbleibende Briefe des Bruders. Gesundheitszustand der CdS. Reise von Dyck nach Aachen. Keine Reise SRDs nach Berlin, Abschluss seines Werks Ì_ber die Aloe. Sitzung des Landtags in DÌ_sseldorf im Mai. Einzelheiten zu CdS‰Ûª Krankheit. T. in Paris? Bevorstehende Weiterreise der CdS nach Paris. Wunsch der CdS wÌ_hrend ihrer Krankheit, T. zu sehen. Alexandres Ernennung zum Lieutenant, wahrscheinlich auf Betreiben des Saint-Mars. FÌ©lix‰Ûª Jurastudium und Berufswunsch. Wunsch nach Zufriedenheit der Enkel. Diktat dieses Briefs, wÌ_hrend ihre Angestellten in der Kirche sind. NeujahrswÌ_nsche. GrÌ_ÌÙe auch von SRD. [Fortsetzung 1840-01-08:] ErlÌ_uterung ihres dringenden Verlangens wÌ_hrend ihrer Krankheit, mit T. zu sprechen und ihn ihrer aufrichtigen und tiefen Zuneigung zu versichern.;"Francq, FÌ©lix, baron de; Francq, Alexandre de; Saint-Mars, gÌ©nÌ©ral vicomte de (Bruder der SchwÌ_gerin der CdS)";"n/a; n/a; n/a";"n/a; n/a; n/a";"DÌ_sseldorf; Le Mans";"https://www.geonames.org/2934246; https://www.geonames.org/3003603";"Botanik/Gartenkunst; Karriere/-fÌ¦rderung; Gesundheit/Krankheit";NA;male;Female;NA
5547;CdS-b1-0874;CdS/17/257-259;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1838-09-19;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;5;J‰Ûªai enfin reÌ¤u ta lettre, cher frÌ¬re, et je suis charmÌ©e de te savoir chez toi, et en bonne santÌ©.;RÌ_ckkehr des T. nach Aventure. Skepsis der CdS gegenÌ_ber dem Reisen im Dampfschiff. CdS‰Ûª Abneigung gegen das Reisen als solches. T.s kritische Beobachtungen Ì_ber die Deutschen. CdS‰Ûª Zufriedenheit, weil sie sich nun in ihrer Abneigung des Deutschen von T. besser verstanden fÌ_hlt. Vorwurf an T., er habe CdS zu lange ohne Nachricht von sich gelassen. Genesung der CdS von ihrer Krankheit. Krankheit als Folge ihrer Trauer um Constant. Wohlergehen der Enkel. Besucher auf Schloss Dyck. RÌ_ckkehr nach Paris im Herbst, gemeinsam mit SRD. Dort Treffen mit T.? [Fortsetzung 1838-10-14:] Beschwerden in der Hand. FrÌ_here Abreise nach Paris als geplant. FÌ©lix‰Ûª Jurastudium. CdS‰Ûª Feier zum 71. Geburtstag, wenige Wochen vor T.s 73. Geburtstag. PS: MissverstÌ_ndnis zwischen T. und CdS.;"Francq, FÌ©lix, baron de; Novakowsky, Victorine de, geb. Chomereau; Francq, Constant de; Francq, Alexandre de; Chomereau, Madame (Cousine von Minette)";"n/a; n/a; n/a; n/a; n/a";"n/a; n/a; n/a; n/a; n/a";NA;NA;"Deutschland - Wahrnehmung; Reise/MobilitÌ_t; Technik/Fortschritt";NA;female;Female;NA
5548;CdS-b1-088i;CdS/17/343-344;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1841-07-29;Aventure / L'Aventure (Schloss), Gde. Chauny;https://www.geonames.org/3025860;NA;NA;Abschrift;vollstÌ_ndig;NA;2;ChÌ¬re bonne sÒur, lorsque j'ai reÌ¤u ta lettre hier, je ne m'attendais pas qu'elle m'annoncerait;"Ìãnderung ihres Vorhabens, sie zu besuchen. Erinnert sie an ihr Versprechen. Bau einer neuen StraÌÙe; die aktuelle ist schon wieder befahrbar [nach ÌÏberschwemmungen]. Sein schlechter Gesundheitszustand verhindert eine Reise. [Ernte-]Verluste durch das schlechte Wetter. KÌ_ltester Sommer seit 1816, in seinen Augen. Ihr Wohlergehen? Rat, sich einen Tag vor der Reise auszuruhen. Wetter in Deutschland? Nachrichten von Charles: heiÌÙes Wetter in Warschau; seit einem Monat keine Neuigkeiten mehr. Feierlichkeiten in Paris.";ThÌ©is, Charles Constant de;http://d-nb.info/gnd/117624365;http://viaf.org/viaf/794527;Warschau;https://www.geonames.org/756135;NA;male;NA;Male;NA
5549;CdS-b1-087u;CdS/17/291-292;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1839-06-30;Aventure / L'Aventure (Schloss), Gde. Chauny;https://www.geonames.org/3025860;NA;NA;Abschrift;vollstÌ_ndig;NA;2;"TrÌ¬s chÌ¬re sÒur, je comptais que tu resterais plus longtems ÌÊ Paris;";Bedauern Ì_ber baldige Abreise der CdS nach Dyck und dadurch verhindertes Zusammentreffen, da T. aus gesundheitlichen GrÌ_nden vorlÌ_ufig nicht reisen kann. Verbesserter Gesundheitszustand der CdS. Alter. WetterfÌ_hligkeit. StÌ_rke SchÌ_den durch Unwetter.;Saint-Mars, gÌ©nÌ©ral vicomte de (Bruder der SchwÌ_gerin der CdS);NA;NA;NA;NA;NA;NA;NA;Male;NA
5550;CdS-b1-087b;CdS/17/271;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1839-01-10;Paris;https://www.geonames.org/2988507;NA;NA;Abschrift;vollstÌ_ndig;NA;1;J‰Ûªenvoie savoir de tes nouvelles, cher frÌ¬re, ma santÌ© a Ì©tÌ© si dÌ©plorable;Schwache Gesundheit der CdS. T.s Gesundheit? Krankheit des FÌ©lix. Karte fÌ_r T. Bitte um Besuch bei CdS. Einladung zu gemeinsamem Abendessen mit Ladoucette. Abendgesellschaft mit einigen Mitgliedern der AcadÌ©mie franÌ¤aise. Bitte um mÌ_ndliche Antwort.;"Francq, FÌ©lix, baron de; Ladoucette, Jean Charles FranÌ¤ois, baron de";"n/a; http://d-nb.info/gnd/116643919";"n/a; http://viaf.org/viaf/89245444";NA;NA;NA;NA;female;Female;NA
5551;CdS-b1-087n;CdS/27/162;Mentelle, Edme;http://d-nb.info/gnd/100208878;http://viaf.org/viaf/76326269;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;NA;NA;NA;NA;NA;Abschrift;vollstÌ_ndig;NA;1;Madame la comtesse, je vous remercie mille fois des nouvelles preuves de votre amitiÌ©.;Nichtempfangene Schrift der CdS. Gesundheitszustand des M.;NA;NA;NA;NA;NA;NA;NA;NA;Male;NA
5555;CdS-b1-088u;CdS/17/356-357;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1841-11-19;Paris;https://www.geonames.org/2988507;NA;NA;Abschrift;vollstÌ_ndig;NA;2;"ChÌ¬re sÒur, tu es surprise de me voir dÌ©jÌÊ ÌÊ Paris; mais tu le seras plus encore quand tu sauras";"Aufenthalt mit der Familie in Paris wegen des Baus einer gepflasterten StraÌÙe von Aventure aus. Mieten einer kleinen Wohnung; problemlose Reise; ruhiges Leben in Paris. SpÌ_rt sein Alter und das Voranschreiten der Zeit. Abreise der CdS aus Dyck? GrÌ_ÌÙe.";Saint-Cricq, Arthur de (Sohn der JosÌ©phine);NA;NA;"Paris; Chauny; Aventure / L'Aventure (Schloss), Gde. Chauny";"https://www.geonames.org/2988507; https://www.geonames.org/3025860; https://www.geonames.org/3025860";"Alter/Jugend; Technik/Fortschritt";male;NA;Male;NA
5557;CdS-b1-088w;CdS/17/357;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1841-11-24;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;1;"Je viens, cher frÌ¬re, de recevoir ta lettre que m‰Ûªa envoyÌ© Monsieur Drais;";Erhalt seines Briefs Ì_ber Drais. Bevorstehende Abreise nach Paris. Vorfreude auf Wiedersehen mit T. und seiner Familie. Sorge, T. habe einen ihrer Briefe nicht erhalten. Zahlreiche Erledigungen und Besorgungen, die CdS (74 Jahre alt) allein zu bewÌ_ltigen hat.;Drais, Pierre (Vertrauensmann der CdS);http://d-nb.info/gnd/1188442287;http://viaf.org/viaf/24156073846353862446;NA;NA;Wohnen/Haushalt;male;NA;Female;NA
5558;CdS-b1-0898;CdS/17/367;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1842-03-29;Paris;https://www.geonames.org/2988507;NA;NA;Abschrift;vollstÌ_ndig;NA;1;Je me porte un peu moins mal aujourd‰Ûªhui qu‰Ûªhier;Bitte an ihren Bruder, sie zukÌ_nftig gegen Mittag zu besuchen, damit sie die Gelegenheit haben, auch Vertrauliches zu besprechen.;NA;NA;NA;NA;NA;NA;NA;NA;Female;NA
5559;CdS-b1-0891;CdS/17/360;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1842-02-05;NA;NA;NA;NA;Abschrift;vollstÌ_ndig;NA;1;ChÌ¬re sÒur, le rhume que je commenÌ¤ais il y a quelques jours est devenu, avec l'aide de Dieu,;Eine ErkÌ_ltung fesselt ihn weiterhin ans Haus. Wohlergehen von CdS. Wird sie besuchen, sobald es ihm besser geht.;NA;NA;NA;NA;NA;NA;NA;NA;Male;NA
5579;CdS-b1-08cd;CdS/29/072;LanglÌ¬s, Louis-Mathieu;http://d-nb.info/gnd/116725087;http://viaf.org/viaf/32118316;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;NA;NA;NA;NA;NA;Abschrift;vollstÌ_ndig;NA;1;Il m'a Ì©tÌ© impossible de m'esquiver hier de chez Didot;L. konnte nicht zum Treffen mit CdS kommen. Hat aber mit Didot Ì_ber ihre bevorstehende Buchausgabe gesprochen, der seinerseits auf seine VorschlÌ_ge zu einer Ausgabe CdS‰Û÷ mit Buffon besteht. Weitere Besprechung darÌ_ber beim nÌ_chsten verabredeten Treffen.;Didot, Firmin;http://d-nb.info/gnd/116173068;http://viaf.org/viaf/54239780;NA;NA;Buchhandel/Verleger;male;NA;Male;NA
5601;CdS-b1-08i0;CdS/31/107-108;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1827-11-20;Aachen;https://www.geonames.org/3247449;NA;NA;Abschrift;vollstÌ_ndig;NA;3;Je reÌ¤ois votre lettre ÌÊ Aix, Monsieur, et je crois devoir y rÌ©pondre un mot;Finanzielle Situation der Familie P. UnrechtmÌ_ÌÙig erhaltene Rente. Finanzielle Absprachen. Nachricht vom erfreulichen Ausgang des Prozesses.;"Chambert, Monsieur (Anwalt CdS' in Tours); Pipelet, Perrine Marie ThÌ©rÌ¬se, geb. Blaise de Kormien; Dufour, Monsieur (Jurist); Faucheux, Monsieur (Anwalt der Erben Pipelet in Tours)";"n/a; n/a; n/a; n/a";"n/a; n/a; n/a; n/a";Coucy;https://www.geonames.org/3023363;"Wirtschaft/Finanzen; Prozess/Gericht";NA;female;Female;NA
5603;CdS-b1-08ih;CdS/31/025-026;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1825-04-23;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;NA;NA;2;Je n'entends point parler de vous, Monsieur.;CdS fragt an, ob es in der Gerichtssache Neuigkeiten gibt. Auch mÌ¦chte sie von P. erfahren, ob er mehr Ì_ber die UmstÌ_nde des Todes von Courier wisse.;"Pipelet, Kinder des verstorbenen Ex-Manns von CdS aus zweiter Ehe; Courier de MÌ©rÌ©, Paul-Louis";"n/a; http://d-nb.info/gnd/118670255";"n/a; http://viaf.org/viaf/5724843";NA;NA;Prozess/Gericht;NA;NA;Female;NA
5604;CdS-b1-08ij;CdS/31/030-031;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1825-08-28;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;NA;NA;3;Je rÌ©ponds ÌÊ l'instant, Monsieur, ÌÊ la lettre que je viens de recevoir;Sie wehrt sich gegen VorwÌ_rfe der Pipelets. P. wÌ_nscht sie persÌ¦nlich zu sprechen. Unstimmigkeiten Ì_ber die betreffenden GÌ_ter in Coucy und deren Wert.;Pipelet, Kinder des verstorbenen Ex-Manns von CdS aus zweiter Ehe;NA;NA;NA;NA;Prozess/Gericht;NA;NA;Female;NA
5606;CdS-b1-08ic;CdS/31/021-022;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1825-01-21;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;NA;NA;2;Ìätant retenue au lit par une lÌ©gÌ¬re indisposition, je me vois forcÌ©e;CdS mÌ¦chte u.a., dass das Gericht in Tours fÌ_r nicht zustÌ_ndig erklÌ_rt wird und dass das Verfahren zurÌ_ck nach Paris verlegt wird. Evelt unterstÌ_tzt das Vorgehen von P.;"Evelt, Christian (Rechtsanwalt in DÌ_sseldorf); Pipelet, Kinder des verstorbenen Ex-Manns von CdS aus zweiter Ehe";"http://d-nb.info/gnd/117736961; n/a";"http://viaf.org/viaf/54933372; n/a";NA;NA;Prozess/Gericht;male;NA;Female;NA
5608;CdS-b1-08io;CdS/31/042;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1825-10-08;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;NA;NA;2;Enfin, Monsieur, la rÌ©ponse m'arrive avec l'expÌ©dition de l'acte;Brief von Evelt mit seiner Meinung, der aber wiederum P. vertraut.;"Evelt, Christian (Rechtsanwalt in DÌ_sseldorf); Pipelet, Kinder des verstorbenen Ex-Manns von CdS aus zweiter Ehe";"http://d-nb.info/gnd/117736961; n/a";"http://viaf.org/viaf/54933372; n/a";NA;NA;Prozess/Gericht;male;NA;Female;NA
5609;CdS-b1-08i5;CdS/31/049-050;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;NA;NA;NA;NA;NA;Abschrift;vollstÌ_ndig;NA;3;Je cÌ¬de, quoiqu‰Ûªavec regret, Monsieur, aux raisons qui vous font penser que votre voyage ici est inutile.;Erleichterung darÌ_ber, dass die juristische Auseinandersetzung nun bald fertig ist. Pipelets hegen seit 30 Jahren Hoffnungen und AnsprÌ_che auf ein VermÌ¦gen, weil sie MÌ_rchen ihren Glauben geschenkt haben.;"Pipelet, Kinder des verstorbenen Ex-Manns von CdS aus zweiter Ehe; Faucheux, Monsieur (Anwalt der Erben Pipelet in Tours)";"n/a; n/a";"n/a; n/a";NA;NA;Prozess/Gericht;NA;NA;Female;NA
5610;CdS-b1-08j0;CdS/31/064-065;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1826-06-25;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;2;Je reÌ¤ois ÌÊ l‰Ûªinstant, Monsieur, une lettre de Monsieur Dufour relative ÌÊ des droits de succession qui n‰Ûªont pas Ì©tÌ© payÌ©s,;Brief des Dufour Ì_ber nichtbezahlte Erbschaftsrechte. Weiterleitung an Dufour der Sterbeurkunde von Minette. Finanzielle Einzelheiten Ì_ber verschiedene Zahlungen. Der Verkauf der GÌ_ter soll Ì_berwacht werden, Angelot hat dafÌ_r eine Vollmacht erhalten.;"Dufour, Monsieur (Jurist); Francq, Agathe ClÌ©mence, baronne de, geb. Pipelet, gen. Minette; Angelot, Monsieur";"n/a; n/a; n/a";"n/a; n/a; n/a";NA;NA;"Wirtschaft/Finanzen; Prozess/Gericht";NA;NA;Female;NA
5611;CdS-b1-08j2;CdS/31/068-069;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1826-09-01;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;3;J‰Ûªai reÌ¤u hier votre lettre, Monsieur, et je me hÌ¢te de vous envoyer les deux significations que vous demandez;CdS schickt an P. die verlangten Dokumente, sie wird ebenfalls an Chambert schreiben. Adresse des Vrignel. CdS wird ebenso an Vrignel und Drais schreiben. CdS schreibt zur Zeit eine groÌÙe ‰Û_EpÌ¨tre‰ÛÏ. Beileid der CdS [zum Tod eines Elternteils von P.]. CdS hat kÌ_rzlich einen Aufsatz Ì_ber ihren Vater in der ‰Û_Biographie‰ÛÏ von Michaud geschrieben, es wurde ohne ihren Namen verÌ¦ffentlicht. Angelot will nach Coucy reisen.;"Drais, Pierre (Vertrauensmann der CdS); Vrignel, Monsieur Bourgeois de (Gegenvormund der Enkel bis zu seinem Tod 1829); ThÌ©is, Marie Alexandre de (Vater der CdS); Michaud, Joseph-FranÌ¤ois; Chambert, Monsieur (Anwalt CdS' in Tours); Angelot, Monsieur";"http://d-nb.info/gnd/1188442287; n/a; http://d-nb.info/gnd/123591031; http://d-nb.info/gnd/117033081; n/a; n/a";"http://viaf.org/viaf/24156073846353862446; n/a; http://viaf.org/viaf/63995993; http://viaf.org/viaf/59172342; n/a; n/a";Coucy;https://www.geonames.org/3023363;"Literarisches Geschehen/Neuerscheinung; Tod/Trauer; Prozess/Gericht";male;NA;Female;NA
5612;CdS-b1-08j7;CdS/31/082-083;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1827-03-21;Paris;https://www.geonames.org/2988507;NA;NA;Abschrift;vollstÌ_ndig;NA;3;Il y a dÌ©jÌÊ quelque temps que j‰Ûªai reÌ¤u votre lettre, Monsieur, mais je n‰Ûªai pu encore y rÌ©pondre:;Dank fÌ_r die Klarheit des Berichts Ps. Bitte um AblÌ¦sung des Montiveaux, der unzuverlÌ_ssig ist, und Suche nach einem neuen Rechtsberater [als Ersatz fÌ_r Chambert?]. Bitte um Kontaktaufnahme mit Faucheux, um den Verleumdungen der Gegenpartei entgegen zu wirken.;"ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS); Laplace de Montiveaux, Monsieur de (GerichtsprÌ_sident in OrlÌ©ans); Faucheux, Monsieur (Anwalt der Erben Pipelet in Tours)";"http://d-nb.info/gnd/120564734; n/a; n/a";"http://viaf.org/viaf/32148970; n/a; n/a";Tours;https://www.geonames.org/2972191;"Wirtschaft/Finanzen; Prozess/Gericht";male;NA;Female;NA
5613;CdS-b1-08iv;CdS/31/126-127;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1829-03-14;Paris;https://www.geonames.org/2988507;NA;NA;Abschrift;vollstÌ_ndig;NA;2;C‰Ûªest avec une grande joie, Monsieur, que j‰Ûªai appris la victoire que, grÌ¢ce ÌÊ vous, nous venons de remporter.;Nachricht vom gewonnenen Gerichtsprozess. Treffen in Paris? PS: GerÌ_chte aus Tours, nach denen die Familie Pipelet entschÌ_digt worden sei.;"Salm-Reifferscheidt-Dyck, Joseph FÌ_rst und Altgraf zu (SRD); Francq, Constant de; Pipelet, Kinder des verstorbenen Ex-Manns von CdS aus zweiter Ehe";"http://d-nb.info/gnd/1159074453; n/a; n/a";"http://viaf.org/viaf/1847152636116120051820; n/a; n/a";Tours;https://www.geonames.org/2972191;"Wirtschaft/Finanzen; Prozess/Gericht";male;male;Female;NA
6586;CdS-b1-076l;CdS/31/123-124;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1829-02-04;Aachen;https://www.geonames.org/3247449;NA;NA;Abschrift;vollstÌ_ndig;NA;3;Je reÌ¤ois ÌÊ l‰Ûªinstant mÌ»me, Monsieur, votre lettre datÌ©e du 9 janvier;Finanzielle AnsprÌ_che der CdS gegenÌ_ber der Familie Pipelet. Weiteres Vorgehen. PersÌ¦nliches GesprÌ_ch in Paris. Baldige Abreise. PS: Brief an CdS‰Ûª Bruder. Bitte um direkte Kontaktaufnahme mit LemaÌ¨tre.;"Pipelet, Jean-Baptiste; ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS); Evelt, Christian (Rechtsanwalt in DÌ_sseldorf); LemaÌ¨tre, Monsieur (CdS' Anwalt in Laon)";"n/a; http://d-nb.info/gnd/120564734; http://d-nb.info/gnd/117736961; n/a";"https://viaf.org/viaf/188712285; http://viaf.org/viaf/32148970; http://viaf.org/viaf/54933372; n/a";NA;NA;"Wirtschaft/Finanzen; Prozess/Gericht";NA;male;Female;NA
6712;CdS-b1-07r0;CdS/28/001;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Duval, Alexandre, eigentl. Alexandre-Vincent Pineux;http://d-nb.info/gnd/104201088;http://viaf.org/viaf/100176929;1827-12-15;BrÌ_ssel;https://www.geonames.org/2800866;NA;NA;Abschrift;vollstÌ_ndig;NA;1;"Je ne veux plus vous voir, vous lire, vous entendre; / Je vous trouve maussade, injuste, ingrat, jaloux. / Je parierais que votre cÒur ‰Û_";In Versform: Ironisch gemeinter Brief an D., in dem CdS ihn zahlreicher Charakterfehler bezichtigt. PS (in Paris): AuflÌ¦sung dieses RÌ_tsels bei einem gemeinsamen Abendessen mit seinem Bruder in ihrer Wohnung.;Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux;http://d-nb.info/gnd/116258659;http://viaf.org/viaf/59072566;NA;NA;Freundschaft;NA;NA;Female;NA
6713;CdS-b1-07r5;CdS/31/117-118;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1828-10-06;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;3;Vous vous rappelez sans doute, Monsieur, que je me proposais de charger Monsieur Masselin, gÌ©rant de la tutelle de mes enfants;Ertrag aus Holzverkauf fÌ_r CdS‰Ûª Enkel, deponiert bei Garot, Notar in Coucy. FragwÌ_rdiges Vorgehen des Garot, Kommentar des Dufour. Finanzielle Situation der Enkel. Fortgang des Prozesses. Bevorstehende Abreise nach Aachen.;"Masselin, Monsieur (homme d'affaires der CdS ab circa 1819 bis mindestens 1829); Pipelet, Kinder des verstorbenen Ex-Manns von CdS aus zweiter Ehe; Francq, drei Enkel der CdS; Dufour, Monsieur (Jurist); LemaÌ¨tre, Monsieur (CdS' Anwalt in Laon); Garot/Garrot, Monsieur (Notar in Coucy)";"n/a; n/a; n/a; n/a; n/a; n/a";"n/a; n/a; n/a; n/a; n/a; n/a";Coucy;https://www.geonames.org/3023363;"Wirtschaft/Finanzen; Prozess/Gericht";NA;NA;Female;NA
