	Date	Time	Tweet	Picture	Longitude	Lattitude
17	4.12.2021	15:31:58	"""Madame de Salm qui est de retour à Paris depuis avant hier, s'empresse de faire savoir "" à Barbier, nan (https://constance-de-salm.de/archiv/#/document/2243)"		2.3488	48.85341
18	5.12.2021	20:15:19	"""Je n’ose en vérité, Monsieur et ami, vous écrire de méchants vers comme j’en ai eu l’idée dix fois."" à Raboteau, 1813-05-23 (https://constance-de-salm.de/archiv/#/document/2301)"		6.08342	50.77664
19	5.12.2021	17:39:02	"""Depuis quelques jours, mon cher Lemontey, j’éprouve une indignation presque continuelle "" à Lémontey, 1813-10-25 (https://constance-de-salm.de/archiv/#/document/2313)"		6.5	51.1
20	6.12.2021	15:08:57	"""Je veux vous annoncer, Monsieur et ami, mon heureuse arrivée dans mes grands et solitaires foyers. "" à Raboteau, 1815-08-25 (https://constance-de-salm.de/archiv/#/document/2325)"		6.5	51.1
21	6.12.2021	07:14:20	"""C'est avec un grand plaisir que je vous écris ce mot de ma main, mon cher voisin, "" à Prous, 1821-10-08 (https://constance-de-salm.de/archiv/#/document/2849)"			
22	7.12.2021	19:07:31	"""Je reçois votre belle et propre lettre, sur mon canapé,"" à Prous, 1821-05-16 (https://constance-de-salm.de/archiv/#/document/2844)"		6.5	51.1
23	7.12.2021	13:56:23	"""Connaissez-vous ce triste état / Où l’on n’est tout à fait bien portant ni malade, "" à Gudin de La Brenellerie, 1810-09-14 (https://constance-de-salm.de/archiv/#/document/5627)"		6.5	51.1
24	8.12.2021	07:34:49	"""Je n’ai pas eu de tes lettres hier ni avant-hier, ma chère Minette,"" à Francq, 1815-08-04 (https://constance-de-salm.de/archiv/#/document/6226)"			
25	8.12.2021	20:09:35	"""„Pour Madame Minette“ . Cher frère: je suis depuis hier dans un si grand tourment d'esprit pour l’affaire de ma première femme"" à Francq, 1814-12-24 (https://constance-de-salm.de/archiv/#/document/6214)"			
26	9.12.2021	14:52:40	"""Ma chère Minette, me voici à Valenciennes avec le plus beau tems du monde"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6219)"		3.52506	50.35909
27	9.12.2021	13:00:01	"""Ma chère Minette, je n’ai plus un mot de toi depuis la guerre,"" à Francq, 1815-07-24 (https://constance-de-salm.de/archiv/#/document/6221)"			
28	10.12.2021	13:35:10	"""Je t’écris ce matin, ma chère Minette, parce que j’ai été interrompue,"" à Francq, 1814-09-19 (https://constance-de-salm.de/archiv/#/document/6199)"			
29	10.12.2021	09:43:12	"""J’ai reçu hier ta dernière petite lettre par Monsieur Drais, ma chère Minette,"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6202)"			
30	11.12.2021	17:30:05	"""Me voici ici, Monsieur, et je veux vous donner de mes nouvelles ainsi qu‘à ma fille"" à Drais, 1814-07-04 (https://constance-de-salm.de/archiv/#/document/6187)"			
31	11.12.2021	19:48:21	"""Je te commence cette lettre, ma chère Minette, le soir, "" à Francq, 1815-12-09 (https://constance-de-salm.de/archiv/#/document/6252)"			
32	12.12.2021	14:14:30	"""Voici, ma chère Minette, une lettre "" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6269)"			
33	12.12.2021	15:11:14	"""C’est aujourd’hui lundi gras, ma chère Minette, tout mon monde est dehors"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6271)"			
34	13.12.2021	19:18:11	"""Je ne t’écrirai qu’un mot aujourd’hui, ma chère Minette, car je ne veux pas fatiguer mon oreille"" à Francq, 1815-11-02 (https://constance-de-salm.de/archiv/#/document/6245)"			
35	13.12.2021	15:24:00	"""Il y a bien longtems que je ne t’ai écrit et que je n’ai eu de tes lettres, ma chère Minette, c’est-à-dire 4 à 5 jours"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6233)"			
36	14.12.2021	10:08:43	"""La poste vient de partir, ma chère Minette"" à Francq, 1816-04-28 (https://constance-de-salm.de/archiv/#/document/6283)"			
37	14.12.2021	10:24:26	"""J’ai reçu hier ta lettre sur notre pauvre ami Martini, ma chère Minette,"" à Francq, 1816-02-08 (https://constance-de-salm.de/archiv/#/document/6276)"			
38	15.12.2021	12:38:31	"""J’ai enfin ta lettre du 18, ma chère Minette. Dieu veuille que tu sois accouchée quand tu recevras celle-cy"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6238)"			
39	15.12.2021	15:34:27	"""Il fait une chaleur si épouvantable, ma chère Minette"" à Francq, 1815-09-15 (https://constance-de-salm.de/archiv/#/document/6240)"			
40	16.12.2021	14:07:49	"""Ma chère Minette, j’ai reçu hier ta grande lettre, j’y réponds plus tard."" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6264)"		6.5	51.1
41	16.12.2021	12:24:31	"""Enfin, ma chère Minette, te voilà heureusement délivrée : j’en suis presqu’aussi soulagée que toi."" à Francq, 1815-10-27 (https://constance-de-salm.de/archiv/#/document/6257)"			
42	17.12.2021	17:06:38	"""Je viens de finir"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6288)"			
43	17.12.2021	12:35:54	"""Tu n’auras que cette feuille aujourd‘hui, ma chère Minette"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6290)"			
44	18.12.2021	13:14:43	"""Madame la baronne, Son Altesse a voulu bien me distinguer par l’honorable commission de vous entretenir des nouvelles du jour de Dyck."" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6295)"			
45	18.12.2021	20:24:49	"""Votre lettre est charmante, Monsieur, elle ferait un bon article "" à Sauvo, nan (https://constance-de-salm.de/archiv/#/document/7515)"			
46	19.12.2021	18:15:45	"""Je suis ici depuis quinze jours, Monsieur, mais encore si fatiguée du voyage"" à Sandt, 1838-08-21 (https://constance-de-salm.de/archiv/#/document/7541)"		6.5	51.1
47	19.12.2021	14:01:55	"""Je suis ici depuis 15 jours, ma chère cousine, mais à peine remise des fatigues de la route. "" à Novakowsky, nan (https://constance-de-salm.de/archiv/#/document/7560)"			
48	20.12.2021	14:20:40	"""J'ai reçu, il y a deux jours, cher frère, la lettre que tu m'as écrite après avoir reçu celle de Monsieur Drais"" à Théis, nan (https://constance-de-salm.de/archiv/#/document/7565)"		6.5	51.1
49	20.12.2021	09:30:12	"""J'envoie savoir comment se portent Madame la maréchale, Monsieur le comte et Madame la comtesse qui, comme je l'ai appris ici"" à Maison, 1841-10-13 (https://constance-de-salm.de/archiv/#/document/7546)"			
50	21.12.2021	17:54:00	"""Rien ne peut m'être plus agréable, Monsieur, que le projet que vous avez "" à Villenave, 1837-03-30 (https://constance-de-salm.de/archiv/#/document/7748)"		2.3488	48.85341
51	21.12.2021	14:33:07	"""Va donc pour mardi 11, Monsieur, je vous attendrai tous, comme il a été dit"" à Villenave, nan (https://constance-de-salm.de/archiv/#/document/7750)"			
52	22.12.2021	10:39:04	"""Voici, Monsieur, le volume que vous m'aviez prêté, et que je n'avais pu vous donner hier"" à Barbier, 1837-04-02 (https://constance-de-salm.de/archiv/#/document/7755)"			
53	22.12.2021	07:31:07	"""Nous sommes encore fort souffrants des suites de la grippe"" à Viennet, 1837-02-26 (https://constance-de-salm.de/archiv/#/document/7729)"			
54	23.12.2021	18:15:36	"""On me remet à l'instant une carte de Monsieur Guerrier de Dumast"" à Guerrier de Dumast, nan (https://constance-de-salm.de/archiv/#/document/7731)"			
55	23.12.2021	12:50:37	"""Je remercie beaucoup Monsieur Barbier de m'avoir envoyé le 7ème volume des Mémoires de l'académie"" à Barbier, 1837-03-26 (https://constance-de-salm.de/archiv/#/document/7743)"		2.3488	48.85341
56	24.12.2021	15:02:24	"""Je vous remercie, Madame, de m'avoir envoyé votre „Demande en révision du code civil“"" à Dauriat, nan (https://constance-de-salm.de/archiv/#/document/7762)"			
57	24.12.2021	12:33:52	"""Nous allons enfin mieux, Félix et moi, très aimable dame"" à Waldor, nan (https://constance-de-salm.de/archiv/#/document/7736)"			
58	25.12.2021	19:51:35	"""J'éprouve le besoin de vous écrire ce que je vous ai dit hier, mon cher voisin"" à Ladoucette, 1837-05-31 (https://constance-de-salm.de/archiv/#/document/7774)"			
59	25.12.2021	09:25:49	"""C'est encore moi; les affaires que j'ai à décider ce soir "" à Ladoucette, 1837-06-01 (https://constance-de-salm.de/archiv/#/document/7779)"			
60	26.12.2021	16:22:37	"""Je me hâte, Monsieur le baron, de répondre à la lettre que j'ai reçue de vous hier et par laquelle"" à Ladoucette, 1837-08-08 (https://constance-de-salm.de/archiv/#/document/7820)"			
61	26.12.2021	20:29:26	"""La famille Villenave que vous avez vu [sic] sans doute depuis mon départ, ma chère amie, vous aura dit ce que j'avais chargé Monsieur Drais"" à Vanhove, 1837-08-17 (https://constance-de-salm.de/archiv/#/document/7825)"			
62	27.12.2021	11:32:04	"""Madame Waldor m'ayant dit qu'elle viendrait avant 3 heures"" à Vanhove, 1837-07-02 (https://constance-de-salm.de/archiv/#/document/7798)"			
63	27.12.2021	14:21:53	"""Quoique je sois partie un jour plus tard que je ne le croyais, Monsieur,"" à Montémont, 1837-07-13 (https://constance-de-salm.de/archiv/#/document/7801)"			
64	28.12.2021	11:30:13	"""Je reçois à l'instant votre lettre de Plombières, Monsieur le baron, et je me hâte de vous dire"" à Ladoucette, 1837-09-01 (https://constance-de-salm.de/archiv/#/document/7832)"		6.5	51.1
65	28.12.2021	08:40:27	"""Lorsque je suis arrivée ici, Monsieur, j'étais si fatiguée, si accablée, que je n'ai pu que me reposer et jouir du bonheur"" à Villenave, 1837-08-05 (https://constance-de-salm.de/archiv/#/document/7818)"			
66	29.12.2021	13:08:00	"""J'ai reçu hier votre aimable lettre, Monsieur le baron, j'étais et je suis encore fort souffrante d'un rhumatisme"" à Ladoucette, 1837-07-26 (https://constance-de-salm.de/archiv/#/document/7813)"		6.5	51.1
67	29.12.2021	14:44:05	"""Je n'ai pu, depuis mardi dernier, vous écrire au moins un mot"" à Waldor, 1837-06-09 (https://constance-de-salm.de/archiv/#/document/7781)"			
68	30.12.2021	19:05:35	"""Je suis arrivée depuis deux jours, souffrante, malade, n'en pouvant plus"" à Maison, 1837-07-16 (https://constance-de-salm.de/archiv/#/document/7806)"			
69	30.12.2021	07:53:56	"""Je ne sais, mon cher Charles, où tu es dans ce moment, si c'est à l'aventure, en route, ou à Paris;"" à Théis, 1837-11-06 (https://constance-de-salm.de/archiv/#/document/7856)"			
70	31.12.2021	12:26:38	"""Je ne puis vous dire, Monsieur, combien de fois je me suis proposé de vous écrire"" à Châtelain, 1837-11-18 (https://constance-de-salm.de/archiv/#/document/7868)"		6.5	51.1
71	31.12.2021	10:18:19	"""Il y a bien longtemps, Monsieur, que je ne vous ai écrit, mais j'ai été depuis deux mois si souffrante si accablée"" à Boucharlat, 1837-10-22 (https://constance-de-salm.de/archiv/#/document/7844)"		6.5	51.1
72	1.1.2022	07:07:05	"""Il y a bien longtemps, Monsieur, que j'ai reçu votre dernière lettre"" à Mathon de Fogères, 1838-01-30 (https://constance-de-salm.de/archiv/#/document/7887)"		6.08342	50.77664
73	1.1.2022	12:06:24	"""J'ai reçu votre lettre il y a quelques jours, Monsieur le colonel, et quoique le temps affreux"" à Schepeler, 1837-12-06 (https://constance-de-salm.de/archiv/#/document/7875)"		6.5	51.1
74	2.1.2022	10:35:32	"""J'apprends à l'instant, Monsieur, la perte douloureuse que vous venez de faire et je m'empresse de vous dire à quel point j'y suis sensible"" à Sanson de Pongerville, 1837-09-18 (https://constance-de-salm.de/archiv/#/document/7837)"		6.5	51.1
75	2.1.2022	20:33:55	"""Ne recevant point de vos nouvelles, Monsieur, je pense que vous vous serez décidé à traduire ma biographie"" à Sandt, 1837-11-12 (https://constance-de-salm.de/archiv/#/document/7863)"			
76	3.1.2022	19:45:21	"""Je ne puis vous dire, Madame, à quel point j'ai été touchée de la lettre que vous m'avez écrite"" à Sandt, 1838-01-08 (https://constance-de-salm.de/archiv/#/document/7882)"		6.5	51.1
77	3.1.2022	17:16:11	"""Monsieur de Ladoucette a dû vous dire, Madame, par quelle suite de petits fâcheux hasards"" à Colet, 1838-03-25 (https://constance-de-salm.de/archiv/#/document/7894)"			
78	4.1.2022	16:16:25	"""Quelques jours après vous avoir vue, Madame et ancienne amie, je suis tombé [sic] malade"" à Gay, 1838-07-23 (https://constance-de-salm.de/archiv/#/document/7938)"			
79	4.1.2022	11:32:49	"""Me voilà enfin ici, Monsieur et Madame. Mon premier soin, après quelques jours de repos, est d'annoncer mon heureuse arrivée à mes amis"" à Sanson de Pongerville, 1838-08-09 (https://constance-de-salm.de/archiv/#/document/7940)"		6.5	51.1
80	5.1.2022	10:37:14	"""Je m'empresse de vous dire, Monsieur et ancien ami, que votre frère Alexandre est venu me voir"" à Duval, 1838-06-13 (https://constance-de-salm.de/archiv/#/document/7919)"			
81	5.1.2022	07:34:03	"""Monsieur Drais a dû aller chez vous, de ma part, Monsieur, pour vous annoncer mon arrivée dans mes foyers allemands"" à Audiffret, 1838-08-21 (https://constance-de-salm.de/archiv/#/document/7945)"		6.5	51.1
82	6.1.2022	13:35:44	"""J'achève ce matin, Monsieur et Madame, le rangement de mes papiers"" à Sanson de Pongerville, nan (https://constance-de-salm.de/archiv/#/document/7933)"			
83	6.1.2022	10:21:40	"""Si vous voulez pécher avec nous vendredi, j'entends pécher comme les douze apôtres"" à Ladoucette, 1838-04-25 (https://constance-de-salm.de/archiv/#/document/7907)"			
84	7.1.2022	07:35:08	"""Il y a déjà bien longtemps, ma chère cousine, que j'ai reçu à Dyck votre bonne et aimable lettre"" à Novakowsky, 1839-02-08 (https://constance-de-salm.de/archiv/#/document/7995)"		2.3488	48.85341
85	7.1.2022	16:01:33	"""C'est de ma main, Monsieur et Madame, que je veux vous apprendre"" à Sanson de Pongerville, 1838-11-17 (https://constance-de-salm.de/archiv/#/document/7964)"			
86	8.1.2022	17:38:31	"""Quand vous aurez un moment de loisir, mon cher voisin, pourriez vous me faire le plaisir"" à Ladoucette, 1839-01-19 (https://constance-de-salm.de/archiv/#/document/7988)"			
87	8.1.2022	14:45:21	"""Je ne puis vous exprimer, Madame et amie, toute la satisfaction que j'ai éprouvée en apprenant la justice "" à Waldor, 1839-02-11 (https://constance-de-salm.de/archiv/#/document/8001)"			
88	9.1.2022	14:57:44	"""Depuis que j'ai reçu votre „Traité d'harmonie“, Monsieur, j'ai été si souffrante"" à Colbert, 1838-11-29 (https://constance-de-salm.de/archiv/#/document/7971)"			
89	9.1.2022	19:57:18	"""Si ma santé me permettait de dîner hors de chez moi, mon très cher voisin, j'accepterais à l'instant "" à Ladoucette, nan (https://constance-de-salm.de/archiv/#/document/8018)"			
90	10.1.2022	10:57:00	"""La Princesse Constance de Salm envoye à Monsieur Dupaty ses deux derniers ouvrages "" à Dupaty, 1839-04-03 (https://constance-de-salm.de/archiv/#/document/8020)"			
91	10.1.2022	10:05:01	"""Il y a déjà bien longtemps, Madame, que j'ai reçu votre dernière lettre toute bonne et toute aimable. "" à Maleszewski, 1839-02-08 (https://constance-de-salm.de/archiv/#/document/8013)"			
92	11.1.2022	11:14:44	"""Je compte sur vous mercredi, Monsieur, et je vous prie de me rapporter sans faute l'exemplaire de ma notice "" à Boucharlat, 1839-05-30 (https://constance-de-salm.de/archiv/#/document/8037)"			
93	11.1.2022	19:57:45	"""Si vous êtes libre, mardi prochain, très aimable dame, et si le petit dîner convenu peut avoir lieu"" à Waldor, nan (https://constance-de-salm.de/archiv/#/document/8049)"			
94	12.1.2022	13:20:48	"""J'avais hier la tête si remplie de fâcheuses contradictions que je n'ai pas pensé, très aimable dame, à vous parler "" à Waldor, 1839-06-12 (https://constance-de-salm.de/archiv/#/document/8051)"			
95	12.1.2022	16:06:43	"""Je veux vous dire, Monsieur, deux ou trois choses."" à Sanson de Pongerville, nan (https://constance-de-salm.de/archiv/#/document/8025)"			
96	13.1.2022	12:56:47	"""Je suis encore bien convalescente, très aimable dame, pour recevoir une visite"" à Waldor, nan (https://constance-de-salm.de/archiv/#/document/8056)"			
97	13.1.2022	12:53:16	"""J'ai reçu hier au soir, Monsieur, vos tablettes romaines, et je m'empresse de vous en remercier. "" à Châtelain, 1839-07-02 (https://constance-de-salm.de/archiv/#/document/8063)"			
98	14.1.2022	08:07:32	"""Rien de plus prompt, de plus aimable, de plus obligeant que l'insertion de l'article"" à Sauvo, 1839-02-23 (https://constance-de-salm.de/archiv/#/document/8006)"			
99	14.1.2022	16:38:37	"""Mille et mille remerciements, Monsieur, des fragments du „Moniteur parisien“que vous m'avez envoyés.  "" à Barbier, 1839-08-20 (https://constance-de-salm.de/archiv/#/document/8094)"		6.5	51.1
100	15.1.2022	08:37:27	"""Vous avez oublié hier soir à votre retour, mon cher voisin, de me dire quand j'aurai le fameux rapport"" à Ladoucette, nan (https://constance-de-salm.de/archiv/#/document/8070)"			
101	15.1.2022	16:48:40	"""Vous apprendrez peut-être par Monsieur Villenave à qui je viens d'écrire un mot, ma chère amie, "" à Vanhove, 1839-08-08 (https://constance-de-salm.de/archiv/#/document/8087)"		6.5	51.1
102	16.1.2022	19:03:13	"""Je me tourmentais, Monsieur, de ne pas recevoir de vos nouvelles de Paris "" à Drais, 1839-08-29 (https://constance-de-salm.de/archiv/#/document/8099)"		6.5	51.1
103	16.1.2022	17:16:17	"""Je range mes papiers, mon cher voisin. "" à Ladoucette, nan (https://constance-de-salm.de/archiv/#/document/8075)"			
104	17.1.2022	13:31:02	"""Vos articles sont parfaits, Monsieur, vous ne pourriez faire de mes „Pensées“ un éloge plus flatteur, plus convenable "" à Christian, 1839-07-11 (https://constance-de-salm.de/archiv/#/document/8068)"			
105	17.1.2022	17:25:29	"""Je m'empresse, mes chers voisins, de vous faire part de mon retour dans mes foyers allemands. "" à Maison, nan (https://constance-de-salm.de/archiv/#/document/8082)"			
106	18.1.2022	18:05:32	"""Depuis que je ne vous ai écrit, Monsieur, je me suis bien mal porté [sic]"" à Drais, 1840-01-23 (https://constance-de-salm.de/archiv/#/document/8152)"		6.08342	50.77664
107	18.1.2022	13:33:48	"""Je n'entends pas parler de vous, Monsieur, ce qui m'inquiète. "" à Jullien de Paris, 1839-10-08 (https://constance-de-salm.de/archiv/#/document/8126)"		6.5	51.1
108	19.1.2022	15:04:08	"""Je pars dans quelques jours pour Aix-la-Chapelle, Monsieur, je suis entourée de papiers, de notes"" à Sanson de Pongerville, 1839-11-30 (https://constance-de-salm.de/archiv/#/document/8138)"		6.5	51.1
109	19.1.2022	12:18:39	"""Je me propose depuis longtemps de vous écrire, Monsieur, de répondre au moins quelques mots "" à Montémont, 1839-12-13 (https://constance-de-salm.de/archiv/#/document/8140)"		6.5	51.1
110	20.1.2022	11:02:14	"""Je ne reçois point de tes nouvelles, cher frère. "" à Théis, 1839-11-19 (https://constance-de-salm.de/archiv/#/document/8133)"		6.5	51.1
111	20.1.2022	15:04:39	"""Mais cette bêtise me contrarie plus que je ne puis vous le dire, il y a dans les journaux"" à Drais, 1840-01-04 (https://constance-de-salm.de/archiv/#/document/8145)"			
112	21.1.2022	12:30:35	"""Je m'étais aperçue hier, mon cher voisin, que mon courrier français me manquait, mais je n'avais pas vu "" à Maison, nan (https://constance-de-salm.de/archiv/#/document/8121)"			
113	21.1.2022	17:43:57	"""La lune m'a paru belle et brillante hier au soir; j'espère qu'elle le sera encore plus aujourd'hui et demain"" à Maison, 1839-10-15 (https://constance-de-salm.de/archiv/#/document/8119)"			
114	22.1.2022	08:54:19	"""Je veux joindre un mot, Madame, à la lettre que Félix vous écrit pour vous dire "" à Paganel, 1840-05-28 (https://constance-de-salm.de/archiv/#/document/8190)"			
115	22.1.2022	19:14:06	"""J'ai reçu, Monsieur, votre ouvrage sur „La tombe de l'Empereur“; il m'a extrêmement intéressée"" à Forster, nan (https://constance-de-salm.de/archiv/#/document/8208)"			
116	23.1.2022	20:50:20	"""J'envoie savoir des nouvelles de Madame de Ladoucette, je l'engage à venir me voir "" à Plancy, 1840-06-30 (https://constance-de-salm.de/archiv/#/document/8210)"			
117	23.1.2022	20:00:49	"""Vous ne venez point, Monsieur; je n'entends point parler de vous "" à Sanson de Pongerville, 1840-05-07 (https://constance-de-salm.de/archiv/#/document/8176)"			
118	24.1.2022	16:24:13	"""Voici, Monsieur, mes petites observations sur votre excellente, votre honorable note"" à Villenave, 1840-06-22 (https://constance-de-salm.de/archiv/#/document/8203)"			
119	24.1.2022	20:11:04	"""Il me semble, Monsieur, que vous m'avez dit que vous aviez un ouvrage "" à Audiffret, 1840-04-06 (https://constance-de-salm.de/archiv/#/document/8164)"			
120	25.1.2022	19:26:36	"""Je vous remercie beaucoup, Monsieur, de l'ouvrage que vous m'avez fait le plaisir de m'envoyer. "" à Roosmalen, 1840-05-28 (https://constance-de-salm.de/archiv/#/document/8188)"			
121	25.1.2022	20:47:30	"""J'ai mal dormi, mon cher voisin, je suis aujourd'hui fort souffrante"" à Ladoucette, nan (https://constance-de-salm.de/archiv/#/document/8171)"			
122	26.1.2022	14:39:43	"""Il me semble, Monsieur, que je dois vous dire que j'ai renoncé à l'idée de faire paraître"" à Bignan, 1840-05-20 (https://constance-de-salm.de/archiv/#/document/8183)"			
123	26.1.2022	11:15:41	"""J'ai reçu ta lettre à Paris, mon cher Charles, en même tems que celle du Prince qui m'annonçait "" à Théis, 1840-08-27 (https://constance-de-salm.de/archiv/#/document/8239)"		6.5	51.1
124	27.1.2022	18:34:46	"""On me dit, ma chère cousine, que vous avez été en France et qu'on ne sait si vous êtes de retour"" à Novakowsky, 1840-08-06 (https://constance-de-salm.de/archiv/#/document/8234)"		6.5	51.1
125	27.1.2022	14:08:10	"""C'est vous, je n'en doute pas, Monsieur, qui m'avez envoyé de très jolis couplets"" à Vial, 1840-07-08 (https://constance-de-salm.de/archiv/#/document/8222)"			
126	28.1.2022	13:37:50	"""J'apprends avec le plus vif plaisir, Monsieur et ami, la nouvelle justice"" à Barbier, 1821-05-19 (https://constance-de-salm.de/archiv/#/document/8284)"		6.5	51.1
127	28.1.2022	20:37:02	"""Que vous dire, mon ancien ami, sur mon long silence?"" à Raboteau, 1821-12-22 (https://constance-de-salm.de/archiv/#/document/8304)"		6.5	51.1
128	29.1.2022	10:44:16	"""Je n'ai aucune raison à vous donner pour excuser mon long silence,"" à N.N., nan (https://constance-de-salm.de/archiv/#/document/8296)"		6.5	51.1
129	29.1.2022	14:03:21	"""Je me hâte, Monsieur, de m'accuser d'une grosse faute d'allemand que j'ai faite hier"" à Châtelain, 1837-04-09 (https://constance-de-salm.de/archiv/#/document/8323)"		2.3488	48.85341
130	30.1.2022	19:21:23	"""Je dois partir à la fin de la semaine prochaine. Je désire beaucoup que Monsieur Ramey puisse venir me voir"" à Ramey, 1839-07-11 (https://constance-de-salm.de/archiv/#/document/8417)"			
131	30.1.2022	19:33:16	"""Voici, mon voisin, la conclusion des Napolitains"" à Prous, nan (https://constance-de-salm.de/archiv/#/document/10650)"		6.5	51.1
132	31.1.2022	14:28:41	"""Je viens de recevoir, Monsieur, une lettre du jeune Villenave à qui j’avais fait savoir que je vous avais donné son épître"" à Stassart, 1841-09-08 (https://constance-de-salm.de/archiv/#/document/11247)"		6.5	51.1
133	31.1.2022	07:22:39	"""Puissiez-vous vivre encore longtemps"" à Hatzfeldt, nan (https://constance-de-salm.de/archiv/#/document/489)"		6.08342	50.77664
134	1.2.2022	19:11:15	"""Je vous écris, Monsieur, d’un petit château où je suis depuis quelques jours. "" à Gudin de La Brenellerie, 1808-09-14 (https://constance-de-salm.de/archiv/#/document/2107)"		7.01667	50.73333
135	1.2.2022	15:02:41	"""Je profite de l’occasion d’un contreseing, Monsieur, pour vous dire que je suis arrivée en bonne santé"" à Raboteau, 1809-05-21 (https://constance-de-salm.de/archiv/#/document/2119)"		6.5	51.1
136	2.2.2022	18:05:49	"""Vous pensez donc, très aimable dame, que c’est par coquetterie que je vous ai écrit "" à Fréville, 1808-06-11 (https://constance-de-salm.de/archiv/#/document/2102)"		6.5	51.1
