"";"id";"main_num";"Nr.";"Verfasser";"Verfasser_1genre";"Verfasser_2genre";"Empfänger";"Datierung..JJJJ.MM.TT.";"Ausstellungsort";"Umfang.in.Seiten";"Anfang.des.Briefes";"Weitere.Personen";"Orte";"Schlagwörter"
"18";40;"main1";"CdS/02_1/162-163";"Salm, Constance de (CdS)";"Female";"Female";"Gauthier (= Lacroix Gauthier?)";NA;NA;2;"Monsieur Ponce, commissaire de correspondance de l‘Athénée des arts, qui a fait au nom de cette société quelques recherches relatives à Monsieur de Lalande";"Ponce, Nicolas; Lefrançois de Lalande, Joseph Jérôme; Delambre, Jean-Baptiste Joseph";NA;"CdS: Éloge historique de M. de Lalande (1810)"
"19";41;"main1";"CdS/02_1/159-160";"Salm, Constance de (CdS)";"Female";"Female";"Raboteau, Pierre Paul";1807-07-12;"Dyck (Schloss), Gde. Jüchen";2;"Je ne vous écris qu’un mot aujourd’hui, parce que je n'ai pas le temps";NA;"Kleve; Sedlitz = Sedlec (ehem. Böhmen)";"Reise/Mobilität"
"20";47;"main1";"CdS/02_1/175-176";"Salm, Constance de (CdS)";"Female";"Female";"Théremin, Charles Guillaume";1807-08-18;"Dyck (Schloss), Gde. Jüchen";2;"Nous avons été bien fâchés, Monsieur, de ne pas vous avoir vu avant, pendant ni après notre fête du 15.";"Beugnot, Jacques Claude, comte; Napoléon Ier Bonaparte, Kaiser der Franzosen; Théremin, Madame";NA;"Gesellschaftliches Leben"
"21";48;"main1";"CdS/02_1/169-170";"Salm, Constance de (CdS)";"Female";"Female";"Fréville, Madame de";1808-06-11;"Dyck (Schloss), Gde. Jüchen";3;"Vous pensez donc, très aimable dame, que c’est par coquetterie que je vous ai écrit";"Dufresnoy, Adélaïde-Gillette, geb. Billet";NA;"Gesellschaftliches Leben; Freundschaft"
"22";49;"main2";"CdS/02_2/052-053";"Salm, Constance de (CdS)";"Female";"Female";"Prous, Henry";1816-07-17;"Dyck (Schloss), Gde. Jüchen";2;"On me dit, Monsieur, que vous êtes malade, dans votre lit, et j’en suis très peinée, je vous l’assure.";"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Shakespeare, William; Hompesch, Herr von; Kopp, Louise";"Dyck (Schloss), Gde. Jüchen";"Frankreich - Restauration (1814-1830)"
"23";52;"main2";"CdS/02_3/055";"Salm, Constance de (CdS)";"Female";"Female";"Bertin, Louis-François";1824-04-12;"Paris";1;"La Princesse de Salm a fait remettre au bureau du Journal des débats deux exemplaires";NA;NA;"Constance de Salm - Vermarktung; CdS: 24 heures (1824)"
"24";53;"main2";"CdS/02_3/064-065";"Salm, Constance de (CdS)";"Female";"Female";"Sauvo, François";1824-05-03;"Paris";2;"Monsieur Sauvo ne trouvera, sans doute, pas étrange que je lui adresse directement deux exemplaires d’un petit ouvrage";NA;NA;"Constance de Salm - Vermarktung; CdS: 24 heures (1824)"
"25";54;"main2";"CdS/02_2/189";"Salm, Constance de (CdS)";"Female";"Female";"Alexander I., Zar von Russland";1818-11-20;"Aachen";1;"Sire, nuit et jour occupé du bonheur de la Terre";NA;NA;"Krieg/Konflikt"
"26";55;"main2";"CdS/02_3/100-101";"Salm, Constance de (CdS)";"Female";"Female";"Salis, Sophie de, verh. baronne de Triqueti";1825-03-06;"Dyck (Schloss), Gde. Jüchen";3;"J’ai reçu votre touchante lettre, ma bien véritable amie, au moment même, où remplie de douleur et de regrets causés par la perte cruelle";"Girodet-Trioson, Anne-Louis, eigentl. Girodet de Roussy";"Aachen";"CdS: Sur Girodet (1825); CdS: Des Allemands comparés aux Français (1826?); Deutschland - Wahrnehmung; Freundschaft; Tod/Trauer"
"27";56;"main2";"CdS/02_3/102";"Salm, Constance de (CdS)";"Female";"Female";"Gay, Sophie, baronne de Lupigny, geb. Nichault de la Valette";1825-03-12;"Dyck (Schloss), Gde. Jüchen";1;"Je fais remettre chez vous, Madame et amie, deux exemplaires d’un dernier hommage";NA;NA;"CdS: Sur Girodet (1825)"
"28";58;"main2";"CdS/02_3/108-109";"Salm, Constance de (CdS)";"Female";"Female";"Barbier, Antoine-Alexandre";1825-04-07;"Aachen";3;"Vous allez être bien surpris, Monsieur, de recevoir si vite ma réponse à votre lettre du 3.";"Genlis, Stéphanie Félicité du Crest de Saint-Aubin, comtesse de; Stassart, Goswin Joseph Augustin, baron de; Jullien de Paris, Marc-Antoine; Drais, Pierre (Vertrauensmann der CdS); Friedrich Wilhelm IV., König von Preußen; Ginguené, Madame; Maurice, Charles";"Belgien";"CdS: 24 heures (1824); CdS: Sur Girodet (1825); Religion/Kirche; Presse"
"29";59;"main2";"CdS/02_3/077-078";"Salm, Constance de (CdS)";"Female";"Female";"Salis, Sophie de, verh. baronne de Triqueti";1824-07-03;"Dyck (Schloss), Gde. Jüchen";2;"Madame la baronne, Madame la Princesse a reçu votre aimable lettre au moment de son départ de Paris.";"Girodet-Trioson, Anne-Louis, eigentl. Girodet de Roussy; Simon(s), Mademoiselle";NA;"CdS: 24 heures (1824); Constance de Salm - Rezeption; Gesundheit/Krankheit"
"30";61;"main2";"CdS/02_3/087-088";"Salm, Constance de (CdS)";"Female";"Female";"Tissot, Pierre-François";1824-11-27;"Paris";2;"Je n’ai lu que ces jours-ci, Monsieur, le très aimable article que vous avez fait sur mes „Vingt-quatre heures“";NA;NA;"CdS: 24 heures (1824); Constance de Salm - Rezeption"
"31";62;"main2";"CdS/02_3/095";"Salm, Constance de (CdS)";"Female";"Female";"Ritz, Wilhelm";1825-02-19;"Dyck (Schloss), Gde. Jüchen";1;"C’est avec regret que j’apprends que Monsieur Borard ne peut me dire le nom du très aimable auteur";"Borard, Monsieur";NA;"Literarisches Geschehen/Neuerscheinung; Gesundheit/Krankheit"
"32";64;"main2";"CdS/02_3/137-140";"Salm, Constance de (CdS)";"Female";"Female";"Lantier, Étienne-François de";1825-12-16;"Aachen";3;"Vous avez raison, mon cher Anténor, d’être surpris de mon long silence.";"Barbier, Antoine-Alexandre; Girodet-Trioson, Anne-Louis, eigentl. Girodet de Roussy; Raboteau, Pierre Paul ; Gouvion Saint-Cyr, Anne de; Anakreon; Courier de Méré, Paul-Louis; Gouvion-Saint-Cyr, Laurent Gouvion, marquis de Saint-Cyr, gen.";"Aachen; Marseille";"Wohnen/Haushalt; Briefpartner/Werk; Alter/Jugend; Deutschland - Wahrnehmung; Tod/Trauer"
"33";65;"main2";"CdS/02_3/132-133";"Salm, Constance de (CdS)";"Female";"Female";"Barbier, Antoine-Alexandre";1825-11-10;"Dyck (Schloss), Gde. Jüchen";3;"Je reçois à l’instant, Monsieur et ami, une lettre de Monsieur Drais qui m’apprend que vous êtes toujours souffrant";"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS); Drais, Pierre (Vertrauensmann der CdS); Ritz, Wilhelm; Truchsess, Graf von (Verwandter SRDs)";"Aachen; Koblenz; Turin";"Literarisches Geschehen/Neuerscheinung; Reise/Mobilität; Gesundheit/Krankheit; Presse; CdS: Biographie morale de mon album (Publikationsvorhaben um 1825)"
"34";66;"main2";"CdS/02_3/158-159";"Salm, Constance de (CdS)";"Female";"Female";"Gumppenberg, Fanny Baronin von";1826-10-01;"Dyck (Schloss), Gde. Jüchen";3;"Je m’empresse de répondre à la lettre que j’ai reçu de vous hier, ma chère sœur, car je sens la nécessité de ne pas vous tenir dans l’incertitude";"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Salm-Reifferscheidt-Alfter, Alfred Joseph Klemens Fürst und Altgraf zu; Gumppenberg, Herr von (ältester Sohn)";NA;"Ehe/Liebe; Erziehung/Pädagogik; Familie/Familienrecht"
"35";67;"main2";"CdS/02_3/140-141";"Salm, Constance de (CdS)";"Female";"Female";"Jullien de Paris, Marc-Antoine";1825-12-20;"Aachen";3;"Vous aurez été bien surpris, Monsieur, de ne plus entendre parler de moi après la lettre que je vous avais écrite";"Barbier, Antoine-Alexandre; Théis, Marie Alexandre de (Vater der CdS)";NA;"Constance de Salm - Vermarktung; CdS: Des Allemands comparés aux Français (1826?); Briefpartner/Werk"
"36";68;"main2";"CdS/02_3/144";"Salm, Constance de (CdS)";"Female";"Female";NA;NA;"Paris";1;"Je suis ici depuis deux mois, Madame, et j’allais vous écrire et vous témoigner la vive part que j’ai prise au malheur";NA;NA;"Tod/Trauer; Gesundheit/Krankheit"
"37";69;"main2";"CdS/02_3/145";"Salm, Constance de (CdS)";"Female";"Female";"Miollis, Sextius Alexandre François de";1826-04-14;"Paris";1;"Le général Miollis éprouve le plus grand regret de n’avoir pu offrir ses hommages";NA;NA;NA
"38";70;"main2";"CdS/02_3/128";"Salm, Constance de (CdS)";"Female";"Female";"Viennet, Jean-Pons-Guillaume";1825-09-14;"Dyck (Schloss), Gde. Jüchen";1;"J’ai reçu votre belle épître, Monsieur, je l’ai lue avec une véritable satisfaction et je vous remercie mille fois";NA;NA;"CdS: Des Allemands comparés aux Français (1826?); Landleben/Provinzleben; Stadtleben; CdS: Épître sur les inconvénients du séjour de la campagne (1808)"
"39";71;"main2";"CdS/02_3/124";"Salm, Constance de (CdS)";"Female";"Female";"Jullien de Paris, Marc-Antoine";1825-08-04;"Dyck (Schloss), Gde. Jüchen";1;"Je viens enfin de me décider, Monsieur, à faire paraître dans la „Revue“ quelques chapitres tirés de mon ouvrage sur l’Allemagne";NA;NA;"Constance de Salm - Vermarktung; CdS: Des Allemands comparés aux Français (1826?)"
"40";72;"main2";"CdS/02_3/147";"Salm, Constance de (CdS)";"Female";"Female";"Viennet, Jean-Pons-Guillaume";1826-06-24;"Dyck (Schloss), Gde. Jüchen";1;"Le voyage, le bon air et surtout le calme de la campagne m’ont enfin rendu la santé, Monsieur, et le premier usage";NA;NA;"Briefpartner/Werk; Gesundheit/Krankheit"
"41";73;"main2";"CdS/02_3/201-202";"Salm, Constance de (CdS)";"Female";"Female";"Jullien de Paris, Marc-Antoine";1827-09-17;"Dyck (Schloss), Gde. Jüchen";2;"Je me hâte de vous annoncer, Monsieur, que j’ai reçu exactement vos deux lettres;";"Friedrich Wilhelm III., König von Preußen; Gall, Dr. Franz Joseph";NA;"Naturwissenschaften; Religion/Kirche; Erziehung/Pädagogik"
"42";74;"main2";"CdS/02_3/203-205";"Salm, Constance de (CdS)";"Female";"Female";"Villenave, Mathieu-Guillaume-Thérèse";1827-09-26;"Dyck (Schloss), Gde. Jüchen";4;"Je vous ai écrit un mot d’Aix-la-Chapelle, Monsieur, pour vous dire que j’avais reçu votre seconde lettre";"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Friedrich Wilhelm III., König von Preußen; El Cid, eigentlich: Rodrigo Diaz de Vivar";NA;"Briefpartner/Werk; Alter/Jugend; Deutschland - Wahrnehmung; Religion/Kirche; Erziehung/Pädagogik"
"43";75;"main2";"CdS/02_3/195-196";"Salm, Constance de (CdS)";"Female";"Female";"Hompesch-Rurich, Graf Herrmann Philipp von (1797-1857)";1827-07-20;"Dyck (Schloss), Gde. Jüchen";2;"C’est moi qui vous réponds cette fois, mon cher voisin;";"Thurn und Taxis, Therese (Mathilde Amalia), geb. Herzogin zu Mecklenburg(-Strelitz), Fürstin von; Friedrich Wilhelm III., König von Preußen; Hompesch-Rurich, Théophile Antoine Guillaume von (1800-1854, Bruder von Herrmann Philipp); Thurn und Taxis, Karl Alexander, Fürst von; Francq, drei Enkel der CdS; Hompesch-Rurich, Octavia Philippine von (Ehefrau Hermann Philipps); Surlet de Chokier, Érasme-Louis, baron; Maison, général, später maréchal Nicolas Joseph; Hompesch, Thérèse-Angélique, Gräfin von, geb. von Aarschot-Schoonhoven";"Aachen";"CdS: Des Allemands comparés aux Français (1826?); Gesellschaftliches Leben; Gesundheit/Krankheit"
"44";76;"main2";"CdS/02_3/229-230";"Salm, Constance de (CdS)";"Female";"Female";"Friedrich Wilhelm III., König von Preußen";1828-05-18;"Dyck (Schloss), Gde. Jüchen";3;"Sire, j’ai reçu à Paris la lettre dont V[otre] M[ajesté] m’a honorée en réponse à celles que j’ai pris la liberté de lui écrire";NA;"Rheinland";"Religion/Kirche"
"45";78;"main2";"CdS/02_3/209-210";"Salm, Constance de (CdS)";"Female";"Female";"Pougens, Charles de";1827-10-20;"Dyck (Schloss), Gde. Jüchen";2;"Voilà plus de six mois, Monsieur, que je vous dois une réponse et un remerciment [sic], et j’en suis si confuse que je ne sais par où commencer";"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Francq, drei Enkel der CdS";"Brüssel";"Weibliche Autorschaft; CdS: Des Allemands comparés aux Français (1826?); Briefpartner/Werk"
"46";79;"main2";"CdS/02_3/167";"Salm, Constance de (CdS)";"Female";"Female";"Dauriat, Louise";1826-12-31;"Paris";1;"Vous êtes sans doute surprise, Madame, de ne pas entendre parler de moi, et je le sens [sic] moi-même de n’avoir pas encore répondu";NA;NA;"Constance de Salm - Rezeption"
"47";80;"main2";"CdS/02_3/173";"Salm, Constance de (CdS)";"Female";"Female";"Laya, Aglaé, in zweiter Ehe Comte";1827-02-02;"Paris";1;"J’apprends par les journaux, ma très chère, que vous venez d’éprouver ce que j’ai éprouvé une fois.";NA;NA;"Briefpartner/Werk"
"48";81;"main2";"CdS/02_3/184";"Salm, Constance de (CdS)";"Female";"Female";"Ladoucette, Jean Charles François, baron de";1827-04-01;"Paris";1;"J’ai lu les fables, j’y ai fait des remarques et de petites marques que je veux expliquer";"Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS)";NA;"Briefpartner/Werk"
"49";82;"main2";"CdS/02_3/240";"Salm, Constance de (CdS)";"Female";"Female";"Laya, Jean-Louis";1828-04-04;"Paris";1;"Au moment où j’ai reçu votre aimable envoi, Monsieur et ami, je me disposais à vous écrire pour vous demander de vos nouvelles";"Laya, Aglaé, in zweiter Ehe Comte; Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)";NA;"CdS: Épître sur l’esprit et l’aveuglement du siècle (1828)"
"50";83;"main2";"CdS/02_3/241";"Salm, Constance de (CdS)";"Female";"Female";"Villenave, Mathieu-Guillaume-Thérèse";NA;"Paris";1;"Je reçois votre billet, Monsieur, il m’enchante et je sens le besoin de vous le dire.";"Villenave, Théodore";NA;"Constance de Salm - Rezeption; CdS: Épître sur l’esprit et l’aveuglement du siècle (1828)"
"51";84;"main2";"CdS/02_3/264-265";"Salm, Constance de (CdS)";"Female";"Female";"Barbier, Louis-Nicolas";1828-05-08;"Brüssel";4;"J’ai chargé Monsieur Drais, Monsieur, de vous donner de mes nouvelles et de vous dire un mot au sujet du Journal des Débats";"Drais, Pierre (Vertrauensmann der CdS); Pélissier, Monsieur (Buchhändler)";NA;"Constance de Salm - Vermarktung; CdS: Épître sur l’esprit et l’aveuglement du siècle (1828); Buchhandel/Verleger"
"52";85;"main2";"CdS/02_3/233";"Salm, Constance de (CdS)";"Female";"Female";"Saint-Cricq, Auguste de (Ehemann von CdS' Nichte Joséphine)";1828-01-09;"Paris";1;"J’ai trouvé ici à mon arrivée, Monsieur, la lettre que vous m’avez écrite; je l’ai lue avec un vif intérêt";"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS); Théis, Anne Marguerite de, geb. de Saint-Mars (Frau des Bruders der CdS); Théis, Joséphine de, verh. Saint-Cricq, gen. Finette";NA;"Ehe/Liebe"
"53";86;"main2";"CdS/02_3/260-261";"Salm, Constance de (CdS)";"Female";"Female";"Stassart, Goswin Joseph Augustin, baron de";1828-05-02;"Brüssel";2;"J’arrive de Paris, Monsieur le baron, je reste ici jusqu‘à mardi prochain et je profite de ce court séjour pour me rappeler à votre souvenir";NA;NA;"Constance de Salm - Vermarktung; CdS: Épître sur l’esprit et l’aveuglement du siècle (1828); Salon/Gesellschaften; Technik/Fortschritt"
"54";88;"main2";"CdS/02_3/259";"Salm, Constance de (CdS)";"Female";"Female";"Andrieux, François";1828-04-28;"Paris";2;"Je pars demain, Monsieur et ancien ami, et je veux vous répondre avant de partir, c’est-à-dire que je vous ai gardé";"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)";NA;"CdS: Épître sur l’esprit et l’aveuglement du siècle (1828)"
"55";89;"main2";"CdS/02_3/255";"Salm, Constance de (CdS)";"Female";"Female";"Jay, Antoine";1828-04-26;"Paris";1;"Monsieur Thiessé s’est chargé à ma demande, Monsieur, de faire pour le „Constitutionnel“ un article sur une Épître que je viens de publier.";NA;NA;"Constance de Salm - Vermarktung; Constance de Salm - Rezeption; CdS: Épître sur l’esprit et l’aveuglement du siècle (1828)"
"56";91;"main2";"CdS/02_3/284-285";"Salm, Constance de (CdS)";"Female";"Female";"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux";1828-08-03;"Dyck (Schloss), Gde. Jüchen";3;"Je n’entends point parler de vous, Monsieur et ancien ami: que devenez-vous donc?";"Duval, Alexandre, eigentl. Alexandre-Vincent Pineux; Houdon, Jean-Antoine; Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS); Théis, Charles Constant de; Maison, général, später maréchal Nicolas Joseph";"Griechenland";"Literarisches Geschehen/Neuerscheinung; Landleben/Provinzleben"
"57";92;"main2";"CdS/02_3/291-292";"Salm, Constance de (CdS)";"Female";"Female";"Ladoucette, Jean Charles François, baron de";1828-09-17;"Dyck (Schloss), Gde. Jüchen";4;"Vous avez raison de vous plaindre de moi, Monsieur le baron, je vous dois une réponse depuis bien longtemps.";"Maison, Madeleine, geb. Weydold (Ehefrau des Nicolas Joseph); Francq, Constant de; Maison, Joseph, vicomte (Sohn des Nicolas Joseph); Maison, Eugène, vicomte (Sohn des Nicolas Joseph); Maison, Joséphine (Tochter des Nicolas Joseph, +1828/1829); Francq, drei Enkel der CdS; Gall, Dr. Franz Joseph; Nau de Champlouis, Madame";"Aachen; Langwaden; Metz";"Wohnen/Haushalt; Reise/Mobilität; Gesundheit/Krankheit"
"58";93;"main2";"CdS/02_3/296-297";"Salm, Constance de (CdS)";"Female";"Female";"Waldor, Mélanie, geb. Villenave";1828-09-21;"Dyck (Schloss), Gde. Jüchen";2;"Je n’entends point parler de vous, Madame, et je ne puis m’accoutumer à n’avoir pendant six mois aucunes nouvelles";"Dumas, Alexandre; Villenave, Madame";"Aachen";"Constance de Salm - Rezeption; Landleben/Provinzleben"
"59";94;"main2";"CdS/02_3/268-270";"Salm, Constance de (CdS)";"Female";"Female";"Villenave, Mathieu-Guillaume-Thérèse";1828-05-29;"Dyck (Schloss), Gde. Jüchen";4;"Vous seriez tout à fait en droit de vous plaindre de moi, Monsieur, si je tardais plus longtemps à répondre";"Dauriat, Louise; Jullien de Paris, Marc-Antoine; Drais, Pierre (Vertrauensmann der CdS); Kératry, Auguste Hilarion de; Courier de Méré, Paul-Louis; Kosciuszko, Tadeusz";NA;"Gelehrte Gesellschaft; Briefpartner/Werk; Literarisches Geschehen/Neuerscheinung; Landleben/Provinzleben; Gesundheit/Krankheit"
"60";95;"main2";"CdS/02_3/302-303";"Salm, Constance de (CdS)";"Female";"Female";"Maison, Eugène, vicomte (Sohn des Nicolas Joseph)";1828-10-03;"Dyck (Schloss), Gde. Jüchen";2;"On nous dit, Monsieur, que vous êtes à Langwaden (et peut-être Madame votre mère) pour y terminer vos affaires";"Maison, Madeleine, geb. Weydold (Ehefrau des Nicolas Joseph); Maison, Joséphine (Tochter des Nicolas Joseph, +1828/1829)";"Langwaden";"Tod/Trauer"
"61";96;"main2";"CdS/02_3/318-319";"Salm, Constance de (CdS)";"Female";"Female";"Théis, Joséphine de, verh. Saint-Cricq, gen. Finette";1828-11-20;"Aachen";2;"Ta lettre m’a fait le plus grand plaisir, ma chère Joséphine; ta bonne santé et celle de ton enfant";"Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS); Saint-Cricq, Auguste de (Ehemann von CdS' Nichte Joséphine); Théis, Anne Marguerite de, geb. de Saint-Mars (Frau des Bruders der CdS)";"Laon";"Gesellschaftliches Leben"
"62";97;"main2";"CdS/02_3/321";"Salm, Constance de (CdS)";"Female";"Female";"Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS)";1828-11-20;"Aachen";1;"Voici, cher frère, une lettre pour ta fille, je ne te répèterai pas ce que je lui dis;";"Francq, Constant de; Théis, Charles Constant de; Saint-Cricq, Joséphine de (Siehe Théis, Joséphine de); Théis, Anne Marguerite de, geb. de Saint-Mars (Frau des Bruders der CdS); Théis, Joséphine de, verh. Saint-Cricq, gen. Finette";"Brüssel";"Erziehung/Pädagogik; Familie/Familienrecht"
"63";98;"main2";"CdS/02_3/327-328";"Salm, Constance de (CdS)";"Female";"Female";"Vanhove, Charlotte, gen. Caroline, verh. Talma, dann verh. comtesse de Châlot";1828-12-12;"Aachen";2;"Je n’entends point parler de vous, ma très belle; et je m’en ennuie d’autant plus";"Francq, Constant de; Maison, Joséphine (Tochter des Nicolas Joseph, +1828/1829); Maison, général, später maréchal Nicolas Joseph; Châlot, comte de";"Brüssel; Dyck (Schloss), Gde. Jüchen";"Freundschaft; Erziehung/Pädagogik"
