;FuD-Key;letzte Änderung;Dokumenttyp;URL;Nr.;Verfasser;GND (Verfasser);VIAF (Verfasser); Empfänger;GND (Empfänger);VIAF (Empfänger);Datierung (JJJJ-MM-TT);Alternative Datierung;Ausstellungsort;Geonames (Ausstellungsort);Empfangsort;Geonames (Empfangsort);Vorlage;Vollständigkeit des Archivals;Erläuterung Unvollständigkeit;Umfang in Seiten;Anfang des Briefes;Inhaltliche Stichpunkte;Weitere Personen;GND (Weitere Personen);VIAF (Weitere Personen);Orte;Geonames (Orte);Schlagwörter;Editionen;Vermerk;Bestand;Verweise;Digitalisate: Dateiname (Signatur);Zitierempfehlung
5608;CdS-b1-08io;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/11346;CdS/31/042;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1825-10-08;;Dyck (Schloss), Gde. Jüchen;https://www.geonames.org/2894637;;;Abschrift;;;2;Enfin, Monsieur, la réponse m'arrive avec l'expédition de l'acte;Brief von Evelt mit seiner Meinung, der aber wiederum P. vertraut.;"Evelt, Christian (Rechtsanwalt in Düsseldorf); Pipelet, Kinder des verstorbenen Ex-Manns von CdS aus zweiter Ehe";"http://d-nb.info/gnd/117736961; n/a";"http://viaf.org/viaf/54933372; n/a";;;Prozess/Gericht;;;Schloss Dyck;;CdS-b1-08io-0.jpg (CdS/31/042);CdS/31/042. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/11346.
8039;CdS-b1-07zj;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10632;CdS/16/079-081;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1825-10-08;;Laon;https://www.geonames.org/3007477;;;Abschrift;vollständig;;4;"Très chère soeur, j'ai été longtems sans t'écrire; j'attendais de toi une lettre";Unterbrochener Aufenthalt Ts mit der Familie in Aventure, da er den Präfekten vertreten musste. Erkrankung seiner Tochter. Freude, dass CdS und SRD sein Roman gefallen hat. Überraschung über von CdS konstatierte Ähnlichkeit zwischen SRD und dem Vater seiner Romanheldin. Ts Versicherung, dass dieser Vergleich SRD nicht gerecht wird. Im Roman findet sich nur eine verklausulierte Beschreibung von Dyck. Einzig mögliche Parallele zu SRD in Ts Roman ist die Beschreibung eines dt. Prinzen. Weitere Parallelen zu ihren Eltern und CdS, an die T. aber gar nicht dachte. Blühende Fantasie der CdS. Freude über Freundschaftsbekundungen der CdS, da der letzte Besuch bei ihr in Paris enttäuschend war und T. sich nicht gut aufgenommen fühlte.;"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Théis, Joséphine de, verh. Saint-Cricq, gen. Finette";"http://d-nb.info/gnd/1159074453; n/a";"http://viaf.org/viaf/1847152636116120051820; n/a";"Dyck (Schloss), Gde. Jüchen; Aventure / L'Aventure (Schloss), Gde. Chauny";"https://www.geonames.org/2894637; https://www.geonames.org/3025860";"Briefpartner/Werk; Freundschaft";;;Schloss Dyck;Original: C04/S29/081-083(https://constance-de-salm.de/archiv/#/document/5900);"CdS-b1-07zj-0.jpg (CdS/16/079); CdS-b1-07zj-1.jpg (CdS/16/080); CdS-b1-07zj-2.jpg (CdS/16/081)";CdS/16/079-081. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10632.
10609;CdS-b1-07zk;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10633;CdS/16/081-082;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1825-10-26;;Laon;https://www.geonames.org/3007477;;;Abschrift;vollständig;;2;Chère sœur, depuis ma dernière lettre, je suis encore retourné à l'Aventure;Ts Aufenthalt in Aventure. Verbesserter aber schwacher Gesundheitszustand seiner Tochter. Rückkehr des Präfekten. Erneute Abreise Ts nach Aventure. Bedürfnis nach Entspannung. Adolphes Anwesenheit. Gesundheitszustand und Arbeit von Charles.;"Théis, Charles Constant de; Théis, Adolphe de; Théis, Joséphine de, verh. Saint-Cricq, gen. Finette";"http://d-nb.info/gnd/117624365; n/a; n/a";"http://viaf.org/viaf/794527; n/a; n/a";;;;;;Schloss Dyck;Original: C04/S29/084-086(https://constance-de-salm.de/archiv/#/document/5901);"CdS-b1-07zk-0.jpg (CdS/16/081); CdS-b1-07zk-1.jpg (CdS/16/082)";CdS/16/081-082. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10633.
5489;CdS-b1-07zl;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10634;CdS/16/082-087;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1825-11-01;Fortsetzungen 1825-11-04 und 1825-11-08;Aachen;https://www.geonames.org/3247449;;;Abschrift;vollständig;;10;J’ai reçu, cher frère, tes deux lettres, et j’attendais pour répondre à la première ;Erhalt zweier Briefe. Besserung des Gesundheitszustandes der Tochter des T. Fassungslosigkeit der CdS über Anschuldigungen des T. in seinem ersten Brief an sie [C04/S29/087-089]. Aussprache über Konflikte der vergangenen vier Jahre. Starkes Gefühl des Verletztseins bei CdS, vor allem aufgrund der veröffentlichten Äußerungen des T. zum Thema Scheidung in einer ohnehin besonders schwierigen Phase der CdS [nach dem Tod Minettes]. [Fortsetzung 1825-11-04:] Enttäuschung und Ärger über Ts Verletzungen. Sehr enge Bindung der CdS zu ihrem Bruder. Ts Misstrauen gegenüber CdS und ihren Freunden in der Literaturszene, seine mangelnde Unterstützung der CdS in schwerer Zeit. Klage, T. schreibe zu viel nach realen, wiedererkennbaren Vorbildern, darunter CdS und SRD. Betonung ihrer finanziellen und sonstigen Eigenständigkeit. CdS’ Bedürfnis nach Ruhe, ihre Verantwortung für die Enkel. Ts mangelnde Sorgfalt in der Verwaltung der Vormundschaft der Enkel. CdS’ Versicherung ihrer Zuneigung und ihres Wunsches nach einer weiterhin engen Bindung. Vermutung, T. habe auch berufliche Gründe, sich von CdS und ihren Freunden zu distanzieren. Verweis auf CdS’ Unterstützung für Ts Sohn Adolphe. Verweis auf die verstorbene Mutter, die T. zur Versöhnung mit CdS mahnen würde. [Fortsetzung 1825-11-08:] Erleichterung nach Abschluss des Briefs. Bitte um Stellungnahme seinerseits.;"Barbier, Antoine-Alexandre; Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Théis, Adolphe de; Théis, Anne Marie de, geb. Quillau (Mutter der CdS); Francq, drei Enkel der CdS; Théis, Joséphine de, verh. Saint-Cricq, gen. Finette";"http://d-nb.info/gnd/116051795; http://d-nb.info/gnd/1159074453; n/a; n/a; n/a; n/a";"http://viaf.org/viaf/7386511; http://viaf.org/viaf/1847152636116120051820; n/a; n/a; n/a; n/a";;;"Freundschaft; Familie/Familienrecht";;;Schloss Dyck;;"CdS-b1-07zl-0.jpg (CdS/16/082); CdS-b1-07zl-1.jpg (CdS/16/083); CdS-b1-07zl-2.jpg (CdS/16/084); CdS-b1-07zl-3.jpg (CdS/16/085); CdS-b1-07zl-4.jpg (CdS/16/086); CdS-b1-07zl-5.jpg (CdS/16/087)";CdS/16/082-087. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10634.
9434;CdS-b1-08ip;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/11347;CdS/31/045-046;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1825-11-17;;Dyck (Schloss), Gde. Jüchen;https://www.geonames.org/2894637;;;Abschrift;;;2;J'ai reçu, Monsieur, votre dernière lettre avec la copie du jugement ;Ein Urteil aus Tours liegt vor und wird mit Evelt besprochen. Diese Notizen werden an P. geschickt. Die Sache in Coucy geht weiter, Brief von Dufour wird an P. weitergereicht. CdS wird an Neujahr erst wieder in Paris sein.;"Evelt, Christian (Rechtsanwalt in Düsseldorf); Pipelet, Kinder des verstorbenen Ex-Manns von CdS aus zweiter Ehe; Dufour, Monsieur (Jurist)";"http://d-nb.info/gnd/117736961; n/a; n/a";"http://viaf.org/viaf/54933372; n/a; n/a";"Tours; Coucy";"https://www.geonames.org/2972191; https://www.geonames.org/3023363";Prozess/Gericht;;;Schloss Dyck;;"CdS-b1-08ip-0.jpg (CdS/31/045); CdS-b1-08ip-1.jpg (CdS/31/046)";CdS/31/045-046. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/11347.
10604;CdS-b1-07zr;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10640;CdS/16/089-090;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1825-11-17;;Aachen;https://www.geonames.org/3247449;;;Abschrift;vollständig;;2;Je vois avec plaisir, cher frère, que les circonstances font ce que ma raison, et mon amitié ;Vermarktung des neuen Romans des T. mithilfe der Freunde der CdS. Beiliegende Briefe des Drais. Beendung der Auseinandersetzung zwischen CdS und T. Klage über T.s mangelnde Offenheit. T.s Bemerkung zu Michel Berr. Rat an T., weniger eitel zu sein. Erfolg des „Polyclète“. Verletzung der CdS infolge eines Sturzes.;"Lémontey, Pierre-Édouard; Drais, Pierre (Vertrauensmann der CdS); Berr / Behr, Michel";"http://d-nb.info/gnd/115628037; http://d-nb.info/gnd/1188442287; http://d-nb.info/gnd/100037720";"http://viaf.org/viaf/49257739; http://viaf.org/viaf/24156073846353862446; http://viaf.org/viaf/61680557";;;"Briefpartner/Werk; Literarisches Geschehen/Neuerscheinung; Freundschaft";;;Schloss Dyck;;"CdS-b1-07zr-0.jpg (CdS/16/089); CdS-b1-07zr-1.jpg (CdS/16/090)";CdS/16/089-090. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10640.
5495;CdS-b1-07zs;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10641;CdS/16/090-092;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1825-11-23;;Laon;https://www.geonames.org/3007477;;;Abschrift;vollständig;;4;Chère soeur, je me hâte de répondre à ta lettre que je viens de recevoir. Nous étions à déjeuner;Sorge wegen Sturz der CdS. Dank für Brief des Drais und dankbare Annahme der Hilfe von Parisot und Jullien (und der CdS). Ts Brief an Lemontey. Bezugnahme auf einen Streit zwischen T. und CdS. Versicherung seiner Zuneigung. Vertrautheit mit CdS, die er seit seiner Reise nach Dyck vermisst. Erklärung, warum er diesen Punkt erst jetzt anspricht. Positive Artikel über Ts Romane in der „Gazette de France“ und im „Drapeau blanc“. Ts Versicherung, dass er guter wie schlechter Kritik gelassen gegenübersteht.;"Lémontey, Pierre-Édouard; Jullien de Paris, Marc-Antoine; Drais, Pierre (Vertrauensmann der CdS); Simon(s), Mademoiselle; Parisot, Monsieur";"http://d-nb.info/gnd/115628037; http://d-nb.info/gnd/118558730; http://d-nb.info/gnd/1188442287; n/a; n/a";"http://viaf.org/viaf/49257739; http://viaf.org/viaf/76375537; http://viaf.org/viaf/24156073846353862446; n/a; n/a";;;"Briefpartner/Werk; Freundschaft";;;Schloss Dyck;Original: C04/S29/093-095(https://constance-de-salm.de/archiv/#/document/5904);"CdS-b1-07zs-0.jpg (CdS/16/090); CdS-b1-07zs-1.jpg (CdS/16/091); CdS-b1-07zs-2.jpg (CdS/16/092)";CdS/16/090-092. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10641.
6888;CdS-b1-08iq;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/11348;CdS/31/046;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1825-11-25;;Aachen;https://www.geonames.org/3247449;;;Abschrift;;;1;Je vois ici, Monsieur, une réponse à M. Chambert;Chambert wartet immer noch auf Unterlagen aus Coucy. P. soll sich darum kümmern.;"Pipelet, Kinder des verstorbenen Ex-Manns von CdS aus zweiter Ehe; Chambert, Monsieur (Anwalt CdS' in Tours)";"n/a; n/a";"n/a; n/a";Coucy;https://www.geonames.org/3023363;Prozess/Gericht;;;Schloss Dyck;;CdS-b1-08iq-0.jpg (CdS/31/046);CdS/31/046. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/11348.
9321;CdS-b1-07zt;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10642;CdS/16/092-094;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1825-11-26;;Aachen;https://www.geonames.org/3247449;;;Abschrift;vollständig;;5;Je reçois à l’instant ta lettre, cher frère, et j’y réponds à l’instant aussi ;Erhalt seines Briefs. Erneute Aussprache über Konflikt zwischen CdS und T. (T.s Vorwurf, CdS habe sich bei seinem Besuch in Paris kalt und unnahbar gezeigt, CdS’ Vorwurf, er habe sie in ihrer schwersten Lebensphase verletzt, indem er ungefragt über Ehescheidung geschrieben habe.) Große Enttäuschung der CdS, Gefühl des Verletztseins. CdS’ Urteil zu T.s neuester Veröffentlichung. Darin enthaltene Schilderungen von Personen, die an CdS und SRD angelehnt sind. Appell an T., er solle sich auf seinen aufrechten und ehrlichen Charakter zurückbesinnen. Renovierung ihres Aachener Hauses. CdS’ Vorbereitungen für ihren letzten Lebensabschnitt. Verlust zahlreicher Freunde. Verantwortung der CdS für Haus und Vermögen, Enkel, Neffen, mehrere gerichtliche Auseinandersetzungen u.a. Bevorstehende Ankunft SRDs in Paris.;"Raboteau, Pierre Paul ; Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Drais, Pierre (Vertrauensmann der CdS); Salm-Reifferscheidt-Alfter, Alfred Joseph Klemens Fürst und Altgraf zu; Saint-Mars, général vicomte de (Bruder der Schwägerin der CdS); Théis, Anne Marguerite de, geb. de Saint-Mars (Frau des Bruders der CdS)";"http://d-nb.info/gnd/1067648739; http://d-nb.info/gnd/1159074453; http://d-nb.info/gnd/1188442287; http://d-nb.info/gnd/139642293; n/a; n/a";"http://viaf.org/viaf/314871000; http://viaf.org/viaf/1847152636116120051820; http://viaf.org/viaf/24156073846353862446; http://viaf.org/viaf/102506361; n/a; n/a";;;"Briefpartner/Werk; Freundschaft";;;Schloss Dyck;;"CdS-b1-07zt-0.jpg (CdS/16/092); CdS-b1-07zt-1.jpg (CdS/16/093); CdS-b1-07zt-2.jpg (CdS/16/094)";CdS/16/092-094. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10642.
6773;CdS-b1-07zu;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10643;CdS/16/095-098;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1825-11-27;;Dyck (Schloss), Gde. Jüchen;https://www.geonames.org/2894637;;;Abschrift;vollständig;;6;Je reçois ta lettre, cher frère, et je suis bien fâchée de t’en avoir envoyé une hier par Drais ;Dank für Brief. Erneute Bezugnahme auf die Auseinandersetzung zwischen CdS und T. Vorwürfe der CdS: T.s Veröffentlichung über Ehescheidung, T.s Ratschlag an CdS, nach Minettes Tod in Dyck zu bleiben, T.s Vorschlag, die Enkel in die Obhut eines ihnen nicht wohlgesonnenen Vormundes zu geben. Freude an T.s Erfolgen, aber große Enttäuschung über dessen unsensible Art und seine mangelnde Anteilnahme. Wunsch nach Beilegung der Streitigkeiten. T.s neueste Veröffentlichung. Verweis auf die verstorbene Mutter. [Fortsetzung 1825-11-27:] Bitte, zu seinem natürlichen Charakter zurückzukehren. Eindruck des Publikums, T. schildere in seinem neuen Werk eigene Erfahrungen.;"Lémontey, Pierre-Édouard; Théis, Adolphe de; Théis, Anne Marie de, geb. Quillau (Mutter der CdS); Francq, drei Enkel der CdS";"http://d-nb.info/gnd/115628037; n/a; n/a; n/a";"http://viaf.org/viaf/49257739; n/a; n/a; n/a";;;"Briefpartner/Werk; Freundschaft";;;Schloss Dyck;;"CdS-b1-07zu-0.jpg (CdS/16/095); CdS-b1-07zu-1.jpg (CdS/16/096); CdS-b1-07zu-2.jpg (CdS/16/097); CdS-b1-07zu-3.jpg (CdS/16/098)";CdS/16/095-098. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10643.
10608;CdS-b1-07zw;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10645;CdS/16/100-101;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1825-12-13;;Laon;https://www.geonames.org/3007477;;;Abschrift;vollständig;;3;"Chère bonne sœur, c'est aujourd'hui ta fête; ma famille et moi te la souhaitons de tout notre coeur.";Namenstag der CdS und Geburtstag des T. Altern. Wichtiger Stellenwert der Familie. Ruhiges Erinnern an ein bewegtes Leben. Wunsch, sich noch ein paar Jahre um seine Kinder kümmern zu können. Zufriedenheit mit seinen Kindern. Erinnerung an einen anderen traurigen Geburtstag. Tod Barbiers. Organisation von Wahlen aufgrund des Todes des Generals Foy.;;;;;;Familie/Familienrecht;;;Schloss Dyck;Original: C04/S29/096-098(https://constance-de-salm.de/archiv/#/document/8425);"CdS-b1-07zw-0.jpg (CdS/16/100); CdS-b1-07zw-1.jpg (CdS/16/101)";CdS/16/100-101. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10645.
5497;CdS-b1-07zx;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10646;CdS/16/102-103;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1825-12-27;;Laon;https://www.geonames.org/3007477;;;Abschrift;vollständig;;3;"Chère bonne sœur, voilà donc encore une nouvelle année qui arrive; que je te la souhaite heureuse, bonne et tranquille";Neujahrswünsche. Verlust geliebter Personen und notwendige Besinnung auf die Familie. Ts Rückblick auf bewegte 60 Jahre. Absicht diesen Brief zu Drais nach Paris zu schicken, der ihn dann gegebenenfalls weiterleitet. Aufenthalt seiner Söhne in Aventure. T. teilt die Meinung der CdS über dieses Land. Ruhige Lage. Ts Wohlergehen trotz des Alters.;Drais, Pierre (Vertrauensmann der CdS);http://d-nb.info/gnd/1188442287;http://viaf.org/viaf/24156073846353862446;Aventure / L'Aventure (Schloss), Gde. Chauny;https://www.geonames.org/3025860;;;;Schloss Dyck;Original: C04/S29/099-101(https://constance-de-salm.de/archiv/#/document/5905);"CdS-b1-07zx-0.jpg (CdS/16/102); CdS-b1-07zx-1.jpg (CdS/16/103)";CdS/16/102-103. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10646.
5503;CdS-b1-0804;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10653;CdS/16/105-106;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1826-01-13;;Laon;https://www.geonames.org/3007477;;;Abschrift;vollständig;;3;Chère bonne sœur, ta dernière lettre d'Aix, m'annonçait ton départ immédiat pour Paris;Vermutung, dass CdS wie angekündigt nach Paris gereist ist. Nachfrage nach Reiseverlauf und Wohnung der CdS. Ts gestriger 25-jähriger Hochzeitstag. Zuneigung zu seiner Familie und zu CdS. Geringe Wichtigkeit, die hier den Ereignissen im Arrondissement von Verviers beigemessen wird. Ts Pflichterfüllung. Ts und CdS‘ Bezahlung der Pension von Adolphe. Sorge um unklare Lage in Russland.;"Drais, Pierre (Vertrauensmann der CdS); Théis, Adolphe de";"http://d-nb.info/gnd/1188442287; n/a";"http://viaf.org/viaf/24156073846353862446; n/a";Verviers;https://www.geonames.org/2784821;;;;Schloss Dyck;Original: C04/S29/102-104(https://constance-de-salm.de/archiv/#/document/5906);"CdS-b1-0804-0.jpg (CdS/16/105); CdS-b1-0804-1.jpg (CdS/16/106)";CdS/16/105-106. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10653.
9324;CdS-b1-0805;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10654;CdS/16/107-108;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1826-01-26;;Laon;https://www.geonames.org/3007477;;;Abschrift;vollständig;;3;Chère bonne sœur, j'ai reçu ta lettre qui m'a fait grand plaisir de toute manière, ;"Freude über Brief der CdS und dort bekundete Zuneigung. Anstrengende Reise der CdS, besonders aufgrund der Kälte, die im Alter zur Last wird. Bevorstehende Parisreise des T., der der Pate des Sohnes von Saint-Mars sein wird. Positiver Artikel im „Constitutionnel“ über Ts Romane. CdS soll Lemontey und Jullien danken. Morgiger entscheidender Tag in Verviers; unklar, wer die Lage für sich entscheiden wird.";"Lémontey, Pierre-Édouard; Jullien de Paris, Marc-Antoine; Saint-Mars, vicomte de [= général de Saint-Mars?]";"http://d-nb.info/gnd/115628037; http://d-nb.info/gnd/118558730; n/a";"http://viaf.org/viaf/49257739; http://viaf.org/viaf/76375537; n/a";Verviers;https://www.geonames.org/2784821;Briefpartner/Werk;;;Schloss Dyck;Original: C04/S29/105-107(https://constance-de-salm.de/archiv/#/document/5907);"CdS-b1-0805-0.jpg (CdS/16/107); CdS-b1-0805-1.jpg (CdS/16/108)";CdS/16/107-108. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10654.
