FuD_Key;Verfasser;Verfasser_GND;Verfasser_VIAF;Empfaenger;Empfaenger_GND;Empfaenger_VIAF;Datierung;Datierung_alt;Ausstellungs_Ort;Ort_long;Ort_lat;Ausstellungsort_Geonames;Vorlage;Vollstaendigkeit;Erlaeuterung_Unvollstaendigkeit;Seiten;Anfang_Brief;Inhalt_Stichpunkte;Weitere_Personen;Weitere_Personen_GND;Weitere_Personen_VIAF;Orte;Orte_Geonames;Schlagwoerter;Editionen;Vermerk;Bestand;Verweise;Digitalisate_Signatur;Hand_Nr;Verfasser_1_Gender;Verfasser_2_Gender;Empfaenger_Gender;URL;Nr;sentiments;Austellungsort_Geonames;Austellungsort_Koordinaten
CdS-b1-06em;Sachsen-Gotha-Altenburg, Charlotte Herzogin von;http://d-nb.info/gnd/124959571;http://viaf.org/viaf/74799365;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1797-03-20;30 ventôse an V;Gotha;10.70193;50.94823;;;vollständig;;2;Madame, j’ai lu avec beaucoup de plaisir la charmante épître que vous avez bien voulu m’envoyer;Dank für Zusendung der „Épître aux femmes“. Anerkennung des Eintretens der CdS für die Rechte der Frau. Besondere Situation in Frankreich: großer Einfluss der Frauen unter der monarchischen Herrschaft, Verdrängung der Frauen nach Einführung der republikanischen Herrschaft. Zum Verhältnis zwischen Männern und Frauen. Lob des Talents der CdS.;;;;;;"Emanzipation/Frau; Vermarktung";;;Schloss Dyck;;CdS-b1-06em-0.jpg (CdS/02_1/043);main1;Female;;Female;https://constance-de-salm.de/archiv/#/document/8453;CdS/02_1/043;positif;https://www.geonames.org/2918752;50.94823, 10.70193
CdS-b1-06f4;Ducis, Jean-François;http://d-nb.info/gnd/119097222;http://viaf.org/viaf/36917487;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1797-08-16;29 thermidor an V;;;;;;vollständig;;1;Madame, je reçois avec infiniment de reconnaissance l’éloge que vous avez eu la bonté;Dank für Nachruf auf einen gemeinsamen Freund, den CdS ihm zugesandt hat.;Sedaine, Madame (Witwe von Michel Jean);;;;;CdS: Éloge historique de M. J. Sedaine (1797);;Von CdS durchgestrichen und versehen mit der folgenden Notiz: L'original se trouve dans le numéro 20.;Schloss Dyck;Abschrift: CdS/02_1/046(https://constance-de-salm.de/archiv/#/document/8490);CdS-b1-06f4-0.jpg (CdS/02_1/046 );main1;Male;Male;Female;https://constance-de-salm.de/archiv/#/document/8491;CdS/02_1/046;neutral;;
CdS-b1-06eh;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Valant, Joseph-Honoré;http://d-nb.info/gnd/121210200;http://viaf.org/viaf/5781852;;pluviôse an IV;Paris;2.3488;48.85341;;;vollständig;;2;Citoyen, j’ai lu avec toute l’attention qu’il mérite l’ouvrage que vous m’avez envoyé;Dank für sein hervorragendes Werk zur Todesstrafe, in dem CdS erwähnt wird.;;;;;;"Briefpartner/Werk; Todesstrafe";;;Schloss Dyck;;"CdS-b1-06eh-0.jpg (CdS/02_1/036); CdS-b1-06eh-1.jpg (CdS/02_1/037)";main1;Female;Female;Male;https://constance-de-salm.de/archiv/#/document/8446;CdS/02_1/036-037;neutral;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-06er;Peintre, François;;;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1797-06-04;16 prairial an V;;;;;;vollständig;;1;Madame, permettez à un admirateur de vos talents de vous adresser une petite pièce;Zusendung eines von ihm verfassten Werkes. Bewunderung des Talents der CdS.;;;;;;Briefpartner/Werk;;;Schloss Dyck;;CdS-b1-06er-0.jpg (CdS/02_1/044);main1;Male;;Female;https://constance-de-salm.de/archiv/#/document/8477;CdS/02_1/044;positif;;
CdS-b1-06f9;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;;;;;;;;;;;vollständig;;2;J’ai reçu, Monsieur, les vers aimables que vous m’avez adressés;Dank für sein positives Urteil über ihre Lesung im Lycée des Arts. CdS’ Urteil über seine literarischen Fähigkeiten?;;;;;;"Gelehrte Gesellschaft; Briefpartner/Werk";;;Schloss Dyck;;"CdS-b1-06f9-0.jpg (CdS/02_1/050); CdS-b1-06f9-1.jpg (CdS/02_1/051)";main1;Female;Female;;https://constance-de-salm.de/archiv/#/document/8496;CdS/02_1/050-051;positif;;
CdS-b1-06fm;;;;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1798-02-17;29 pluviôse an VI;Paris;2.3488;48.85341;;;vollständig;;1;Madame, nous avons reçu des vers élégiaques signés de vous, sur la mort d’un chat;Bitte um erneute Zusendung des Gedichts und des Textes, den CdS im Lycée républicain vorgetragen hat. Vorhaben, beide Texte zu veröffentlichen.;;;;;;Gelehrte Gesellschaft;;Anmerkung der CdS: Das Gedicht war fälschlicherweise unter ihrem Namen an die Redaktion geschickt worden. Rückfrage an CdS aufgrund von berechtigten Zweifeln an ihrer Urheberschaft.;Schloss Dyck;;CdS-b1-06fm-0.jpg (CdS/02_1/056);main1;;;Female;https://constance-de-salm.de/archiv/#/document/8509;CdS/02_1/056;neutral;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-06fo;Salis, Sophie de, verh. baronne de Triqueti;;;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1798-02-23;5 ventôse an VI;;;;;;vollständig;;2;Daignerez-vous pardonner, Madame, l'enthousiasme d'une jeune personne qui n'a pu lire vos ouvrages sans vous aimer;Kontaktaufnahme mit CdS. Ts Bewunderung für CdS. Begeisterte Lektüre der „Sapho“. Daraus entstandener Wunsch, bei CdS den Platz einer Schülerin einzunehmen, wie dies eine Schülerin bei Sapho tat. Ts Liebe zu Musik und Literatur. Wunsch nach einer Freundschaft mit CdS. Bitte von Eliza de Salis, dem Wunsch [ihrer Tochter?] mit Wohlwollen zu begegnen.;;;;;;"Briefpartner/Werk; Freundschaft; CdS: Sapho (1794)";;Sowohl der Zusatz der Mutter, der sich im Original im Anschluss an den Brief findet, als auch das Post scriptum fehlen in der Abschrift.;Schloss Dyck;Original: C04/S20/002-004(https://constance-de-salm.de/archiv/#/document/5631);"CdS-b1-06fo-0.jpg (CdS/02_1/057); CdS-b1-06fo-1.jpg (CdS/02_1/058)";main1;Male;;Female;https://constance-de-salm.de/archiv/#/document/8511;CdS/02_1/057-058;positif;;
CdS-b1-06fh;"Legouvé, Gabriel-Marie; Prévost de Longpérier, Monsieur";"http://d-nb.info/gnd/100506178; http://d-nb.info/gnd/120922886";"http://viaf.org/viaf/22144686; http://viaf.org/viaf/18065724";Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1798-02-10;22 pluviôse an VI;Paris;2.3488;48.85341;;;vollständig;;2;Citoyenne, le citoyen Lebrun nous a fait part du désir que vous avez;Bitte an CdS, einige ihrer Werke im Lycée des étrangers vorzustellen. Zusendung der Werke im Voraus an das unterzeichnende Komitee.;Lebrun, Monsieur, Directeur des Lycée des étrangers;;;;;Gelehrte Gesellschaft;;Der erwähnte Lebrun ist Directeur des Lycée des étrangers und nicht zu verwechseln mit Lebrun, dem Poeten. Prévost [de] Longpérier ist Sekretär des unterzeichnenden Komitees.;Schloss Dyck;;"CdS-b1-06fh-0.jpg (CdS/02_1/053); CdS-b1-06fh-1.jpg (CdS/02_1/054)";main1;Male;Male;Female;https://constance-de-salm.de/archiv/#/document/8504;CdS/02_1/053-054;neutral;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-06fz;Lalanne, Monsieur;;;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1798-06-20;2 messidor an VI;Dax;-1.05366;43.71032;;;vollständig;;2;Madame, je n’ai l’avantage de vous connaître que dans la moitié la plus noble de vous-même;Bewunderung für CdS. Geschlecht spielt keine Rolle in der Poesie. Zusendung eines entsprechenden Briefs Ovids an seine Tochter. Anmerkung der CdS: Brief lag dem Originalbrief bei, fehlt in der Abschrift.;"Ovid, eigentl. Publius Ovidius Naso; Lebrun";"http://d-nb.info/gnd/118590995; n/a";"http://viaf.org/viaf/88342447; n/a";;;Weibliche Autorschaft;;;Schloss Dyck;;"CdS-b1-06fz-0.jpg (CdS/02_1/072); CdS-b1-06fz-1.jpg (CdS/02_1/073)";main1;Male;Male;Female;https://constance-de-salm.de/archiv/#/document/8523;CdS/02_1/072-073;positif;https://www.geonames.org/3021670;43.71032, -1.05366
CdS-b1-06h5;Briquet, Fortunée;http://d-nb.info/gnd/1055221832;http://viaf.org/viaf/88070563;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1798-12-31;11 nivôse an VII;Niort;-0.45877;46.32313;;;vollständig;;1;Mon époux a, depuis très peu de jours, reçu la caisse qui contenait vos charmants ouvrages.;Bewunderung für die Werke der CdS. Bitte um Urteil der CdS zu beiliegenden Versen der B. PS: Bitte um die Zusendung weiterer Werke der CdS für eine Werkvorstellung in einer literarischen Gesellschaft.;Briquet, Hilaire Alexandre;http://d-nb.info/gnd/1157691676;http://viaf.org/viaf/159152636166820052829;;;"Gelehrte Gesellschaft; Briefpartner/Werk";;;Schloss Dyck;;CdS-b1-06h5-0.jpg (CdS/02_1/084);main1;;;Female;https://constance-de-salm.de/archiv/#/document/8566;CdS/02_1/084;positif;https://www.geonames.org/2990355;46.32313, -0.45877
CdS-b1-06g6;Lalanne, Monsieur;;;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1798-08-11;24 thermidor an VI;Dax;-1.05366;43.71032;;;vollständig;;1;Madame, je n’ai point été déçu dans l’espérance où j’étais que ma lettre vous parviendrait;Zustellung seines Briefs an CdS auch ohne vollständige Adresse. Dank für CdS’ positives Urteil. Urteil Saint-Anges. Imitationen des Métastase und Abhandlung zum Obstgarten. Bitte um CdS’ Urteil.;"Metastasio, Pietro; Fariau de Saint-Ange, Ange-François";"http://d-nb.info/gnd/118733141; http://d-nb.info/gnd/116758880";"http://viaf.org/viaf/64192672; http://viaf.org/viaf/64131302";;;Briefpartner/Werk;;;Schloss Dyck;;CdS-b1-06g6-0.jpg (CdS/02_1/074);main1;Male;Male;Female;https://constance-de-salm.de/archiv/#/document/8530;CdS/02_1/074;négatif;https://www.geonames.org/3021670;43.71032, -1.05366
CdS-b1-06fs;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Salis, Sophie de, verh. baronne de Triqueti;;;1798-04-07;18 germinal an VI;;;;;;vollständig;;3;J’ai vu hier, Mademoiselle, la personne que vous aviez chargée de m’apporter votre lettre;Dank für Brief. Röteln-Erkrankung der CdS. Ausführliche Beantwortung von S' Schreiben im nächsten Brief. Ratschlag, zur Übung ein beliebiges Thema in Alexandrinern zu behandeln. Reimschema. Zusendung der „Vers sur les dissentions des gens de lettres“. Abkehr der CdS von der Musik zugunsten der Literatur. Bedeutung der Musik als Mittel der Entspannung.;;;;;;"Briefpartner/Werk; Musik; CdS: Vers sur les dissentions des gens de lettres (1797)";;;Schloss Dyck;Abschrift: CdS/34/008-010(https://constance-de-salm.de/archiv/#/document/10392);"CdS-b1-06fs-0.jpg (CdS/02_1/061); CdS-b1-06fs-1.jpg (CdS/02_1/062)";main1;Female;Female;Male;https://constance-de-salm.de/archiv/#/document/8516;CdS/02_1/061-062;neutral;;
CdS-b1-06gi;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Salis, Sophie de, verh. baronne de Triqueti;;;1798-10-14;23 vendémiaire an VII;;;;;;vollständig;;1;Une assez longue indisposition, Mademoiselle, m’a privée jusqu’à présent du plaisir de répondre;Verspätete Antwort wegen Krankheit der CdS. Positives Urteil zu ihren Versen. Vorfreude hinsichtlich des bevorstehenden Treffens. Grüße an ihre Mutter. Rat, italienische Literatur ins Französische zu übersetzen.;"Metastasio, Pietro; Pignotti, Lorenzo";"http://d-nb.info/gnd/118733141; http://d-nb.info/gnd/117687383";"http://viaf.org/viaf/64192672; http://viaf.org/viaf/76400431";;;Briefpartner/Werk;;;Schloss Dyck;Abschrift: CdS/34/031(https://constance-de-salm.de/archiv/#/document/10389);CdS-b1-06gi-0.jpg (CdS/02_1/078);main1;Female;Female;Male;https://constance-de-salm.de/archiv/#/document/8542;CdS/02_1/078;négatif;;
CdS-b1-06gu;;;;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1798-11-03;13 brumaire an VII;Paris;2.3488;48.85341;;;vollständig;;1;Madame, n’ayant le bonheur de vous connaître que pour vous avoir entendue plusieurs fois;Begeisterung über CdS’ Bericht im Lycée des Arts zu Roux-Montagnacs Schrift „Les fleurs artificielles“.;Roux-Montagnac, Madame;;;;;CdS: Rapport sur les fleurs artificielles de la citoyenne Roux-Montagnac (1798);;;Schloss Dyck;;CdS-b1-06gu-0.jpg (CdS/02_1/078);main1;;;Female;https://constance-de-salm.de/archiv/#/document/8554;CdS/02_1/078;positif;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-06h1;;;;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1798-11-27;6 frimaire an VII;;;;;;vollständig;;2;Extrait d’un procès verbal en vers du citoyen Cailly père, Président de la Société des belles-lettres;Bitte an CdS, der Société des belles lettres beizutreten.;;;;;;Gelehrte Gesellschaft;;;Schloss Dyck;;CdS-b1-06h1-0.jpg (CdS/02_1/080);main1;;;Female;https://constance-de-salm.de/archiv/#/document/8561;CdS/02_1/080;positif;;
CdS-b1-06io;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Andrieux, François;http://d-nb.info/gnd/116310197;http://viaf.org/viaf/2465625;1802-01-07;an X;Paris;2.3488;48.85341;;;vollständig;;2;Cher confrère en Apollon, je veux vous prier de me rendre un service.;Neues Stück von Picard („La grande ville“), in der eine negativ dargestellte Frauenfigur von CdS inspiriert zu sein scheint. Befürchtung der CdS, dies könne ihr schaden. Bitte an Andrieux, Picard darauf hinzuweisen.;Picard, Louis-Benoît;http://d-nb.info/gnd/100234526;http://viaf.org/viaf/54241283;;;"Constance de Salm - Vermarktung; Literarisches Geschehen/Neuerscheinung";;;Schloss Dyck;;"CdS-b1-06io-0.jpg (CdS/02_1/116); CdS-b1-06io-1.jpg (CdS/02_1/117)";main1;Female;Female;Male;https://constance-de-salm.de/archiv/#/document/8624;CdS/02_1/116-117;négatif;https://www.geonames.org/2988507;48.85341, 2.3488
